operator_family,cases,avg_original_ratio_child_to_aic,avg_corrected_ratio_child_to_aic,avg_corrected_ratio_gemm_to_aic,median_corrected_ratio_gemm_to_aic,avg_abs_gemm_minus_corrected_aic_ms,max_abs_gemm_minus_corrected_aic_ms,avg_quant_kernel_ms,exact_shape_cases
o_proj,12,0.6555854374276576,0.9030862517148349,0.7970143881812407,0.795554361082131,0.18410041601377714,0.42135892405192044,0.0842657361111111,3
q_b_proj,12,0.7449877930095071,1.0310530902950514,0.8986498266541633,0.883720607362532,0.029594943171376092,0.06075853803726894,0.008647555555555556,0
qkv_a_proj,12,0.9976567027662312,1.2897019167521977,0.7599943579578611,0.744667098960233,0.03239004536392729,0.04937318604535243,0.039882180555555556,0
