tag,mapping,alignment_class,step,phase,aic_query_path,op_name,latency_ms,per_layer_latency_ms,step_count,weighted_latency_ms,energy_wms,source,query_batch_size,query_s,query_prefix,query_error,steps_to_finish_ctx,mix_ctx_tokens,mix_gen_tokens,genonly_tokens,mix_first_pass_batch_size,mix_first_pass_isl,mix_first_pass_prefix,mix_context_second_pass_batch_size,mix_context_second_pass_isl,mix_context_second_pass_prefix,generation_lookup_s
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,4.116847991943359,0.6861413319905599,2.0,8.233695983886719,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,2.257670707505822,0.3762784512509703,2.0,4.515341415011644,0.0,silicon,7.0,512.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,26.331035789976475,4.388505964996079,2.0,52.66207157995295,0.0,persisted_run_agg_csv,,,,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.1658524930069705,0.1943087488344951,2.0,2.331704986013941,0.0,silicon,1.0,6145.0,0.0,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,2.2532696471234193,0.3755449411872365,2.0,4.5065392942468385,0.0,silicon,1.0,6145.0,0.0,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,1.381295553495883,0.23021592558264717,2.0,2.762591106991766,0.0,silicon,1.0,6145.0,0.0,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,1.0667390206363052,0.17778983677271754,2.0,2.1334780412726104,0.0,silicon,1.0,6145.0,0.0,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,6.901186079141361,1.1501976798568936,2.0,13.802372158282722,0.0,silicon,1.0,6145.0,0.0,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,6.181171481384975,1.030195246897496,2.0,12.36234296276995,0.0,silicon,3.0,2048.0,0.0,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,39.20868953677592,6.5347815894626535,2.0,78.41737907355184,0.0,persisted_run_agg_csv,,,,,2,8192,1,5,1,8193,0,4,2048,0,2057
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.4739991310674014,0.24566652184456692,2.0,2.947998262134803,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,5,1,8193,0,4,2048,0,2057
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,2.9299269231702842,0.48832115386171404,2.0,5.8598538463405685,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,5,1,8193,0,4,2048,0,2057
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,1.861438869695549,0.31023981161592484,2.0,3.722877739391098,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,5,1,8193,0,4,2048,0,2057
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,1.413683369779028,0.23561389496317134,2.0,2.827366739558056,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,5,1,8193,0,4,2048,0,2057
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,9.132011401699856,1.5220019002833094,2.0,18.264022803399712,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,5,1,8193,0,4,2048,0,2057
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,8.127273559570312,1.3545455932617188,2.0,16.254547119140625,0.0,silicon,4.0,2048.0,0.0,,2,8192,1,5,1,8193,0,4,2048,0,2057
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,39.20868953677592,6.5347815894626535,2.0,78.41737907355184,0.0,persisted_run_agg_csv,,,,,2,8192,1,2,1,8193,0,1,8192,0,8201
