tag,real_component,real_layer_count,real_gpu_makespan_ms,real_gpu_kernel_time_sum_ms,real_host_duration_ms,real_first_kernel_name,real_last_kernel_name
agg_aic_p0_dense_b36_isl1024_ctx4096,q_b_proj,5,0.237881,0.236537,0.23697340000000003,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_b36_isl1024_ctx4096,rotary_emb,5,0.0528574,0.0528574,0.1005028,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,attn_mha,5,0.8010303999999999,0.8009789999999999,0.14043540000000002,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,fused_qkv_a_proj_with_mqa,5,0.1448704,0.14313599999999999,0.2511714,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,kv_a_layernorm,5,0.008224,0.008224,0.041865200000000005,RMSNormKernel,RMSNormKernel
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,kv_b_proj,5,0.715571,0.7138622,0.2245554,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,o_proj,5,0.7136064,0.711776,0.22484960000000004,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,q_a_layernorm,5,0.00944,0.00944,0.0505888,RMSNormKernel,RMSNormKernel
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,q_b_proj,5,0.23651819999999998,0.2351806,0.21422400000000003,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,rotary_emb,5,0.052780799999999996,0.052780799999999996,0.07823279999999999,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_longctx_b8_isl4096_ctx8192,attn_mha,5,2.5825692,2.5825115999999997,0.1414582,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_longctx_b8_isl4096_ctx8192,fused_qkv_a_proj_with_mqa,5,0.2718588,0.2703612,0.24990679999999998,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_longctx_b8_isl4096_ctx8192,kv_a_layernorm,5,0.0132736,0.0132736,0.0405826,RMSNormKernel,RMSNormKernel
agg_aic_p0_longctx_b8_isl4096_ctx8192,kv_b_proj,5,1.2071538,1.2056882,0.221896,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_longctx_b8_isl4096_ctx8192,o_proj,5,1.2710384,1.2691824,0.222068,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_longctx_b8_isl4096_ctx8192,q_a_layernorm,5,0.0178368,0.0178368,0.048361600000000005,RMSNormKernel,RMSNormKernel
agg_aic_p0_longctx_b8_isl4096_ctx8192,q_b_proj,5,0.44658499999999995,0.4448442,0.2173624,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_longctx_b8_isl4096_ctx8192,rotary_emb,5,0.1064894,0.1064894,0.0771776,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_mid_b8_isl2048_ctx8192,attn_mha,5,1.3274176,1.3273408,0.1191496,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_mid_b8_isl2048_ctx8192,fused_qkv_a_proj_with_mqa,5,0.27072640000000003,0.268736,0.181962,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_mid_b8_isl2048_ctx8192,kv_a_layernorm,5,0.0131712,0.0131712,0.028717800000000005,RMSNormKernel,RMSNormKernel
agg_aic_p0_mid_b8_isl2048_ctx8192,kv_b_proj,5,0.5604544,0.5589824,0.1589734,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_mid_b8_isl2048_ctx8192,o_proj,5,1.2621943999999998,1.2608376,0.15812379999999998,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_mid_b8_isl2048_ctx8192,q_a_layernorm,5,0.0179392,0.0179392,0.041171400000000004,RMSNormKernel,RMSNormKernel
agg_aic_p0_mid_b8_isl2048_ctx8192,q_b_proj,5,0.44386559999999997,0.4424768,0.1475456,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_mid_b8_isl2048_ctx8192,rotary_emb,5,0.10553599999999999,0.10553599999999999,0.06975139999999999,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,attn_mqa,5,0.9370228,0.9354419999999999,0.3189758,set_mla_kv_buffer_kernel,device_kernel
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,fused_qkv_a_proj_with_mqa,5,0.1474238,0.1454784,0.26340240000000004,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,kv_a_layernorm,5,0.0071871999999999995,0.0071871999999999995,0.0346798,RMSNormKernel,RMSNormKernel
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,o_proj,5,0.7132662,0.711551,0.32627100000000003,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,q_a_layernorm,5,0.0092608,0.0092608,0.056219200000000004,RMSNormKernel,RMSNormKernel
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,q_b_proj,5,0.2377084,0.23644759999999998,0.22857280000000002,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,rotary_emb,5,0.054067,0.054067,0.102769,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_small_b8_isl512_ctx2048,attn_mqa,5,0.48369840000000003,0.48212399999999994,0.26092339999999997,set_mla_kv_buffer_kernel,device_kernel
agg_aic_p0_small_b8_isl512_ctx2048,fused_qkv_a_proj_with_mqa,5,0.0812284,0.0796988,0.23950459999999998,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_small_b8_isl512_ctx2048,kv_a_layernorm,5,0.0045376,0.0045376,0.0313254,RMSNormKernel,RMSNormKernel
agg_aic_p0_small_b8_isl512_ctx2048,o_proj,5,0.3799352,0.378252,0.2529194,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_small_b8_isl512_ctx2048,q_a_layernorm,5,0.0054974,0.0054974,0.0456018,RMSNormKernel,RMSNormKernel
agg_aic_p0_small_b8_isl512_ctx2048,q_b_proj,5,0.1316032,0.1303232,0.2184706,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_small_b8_isl512_ctx2048,rotary_emb,5,0.027839999999999997,0.027839999999999997,0.0763426,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,attn_mha,5,0.48598379999999997,0.4859198,0.18089680000000002,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,fused_qkv_a_proj_with_mqa,5,0.0815936,0.0801664,0.2914314,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,kv_a_layernorm,5,0.0050111999999999995,0.0050111999999999995,0.0461188,RMSNormKernel,RMSNormKernel
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,kv_b_proj,5,0.4137982,0.412211,0.2567896,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,o_proj,5,0.37601260000000003,0.3744446,0.2496552,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,q_a_layernorm,5,0.005388800000000001,0.005388800000000001,0.06225579999999999,RMSNormKernel,RMSNormKernel
