framework,version,device,op_name,kernel_source,batch_size,seq_len,hidden_size,tp_size,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,5120,1,0.3205696105957031
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,2560,2,0.16641600131988527
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,1280,4,0.08243200182914734
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,640,8,0.04304639995098114
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,5120,1,0.48239359855651853
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,2560,2,0.24895040988922118
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,1280,4,0.12298879623413086
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,640,8,0.06317120194435119
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,5120,1,0.7189695835113525
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,2560,2,0.3697983980178833
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,1280,4,0.18186240196228026
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,640,8,0.0927232027053833
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,19110,5120,1,0.27361600399017333
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,19110,5120,2,0.2737247943878174
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,19110,5120,4,0.27362880706787107
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,19110,5120,8,0.2734623908996582
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,31590,5120,1,0.4465343952178955
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,31590,5120,2,0.44669442176818847
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,31590,5120,4,0.44659199714660647
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,31590,5120,8,0.44659199714660647
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,43120,5120,1,0.6083615779876709
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,43120,5120,2,0.6083648204803467
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,43120,5120,4,0.60830078125
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,43120,5120,8,0.6081024169921875
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,47190,5120,1,0.6672063827514648
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,47190,5120,2,0.6672351837158204
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,47190,5120,4,0.6669983863830566
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,47190,5120,8,0.6672095775604248
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,71280,5120,1,1.0052703857421874
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,71280,5120,2,1.0054816246032714
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,71280,5120,4,1.0054911613464355
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,71280,5120,8,1.005292797088623
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,106480,5120,1,1.494217586517334
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,106480,5120,2,1.5100799560546876
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,106480,5120,4,1.5100735664367675
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_cutedsl_scale_residual_layernorm_scale_shift,1,106480,5120,8,1.5116288185119628
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,1,0.23729920387268066
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,2,0.2371840000152588
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,4,0.23720319271087648
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,8,0.23732800483703614
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,1,0.3871007919311523
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,2,0.3870464086532593
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,4,0.3873600006103516
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,8,0.38696320056915284
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,1,0.5253568172454834
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,2,0.5252831935882568
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,4,0.5250847816467286
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,8,0.5250976085662842
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,47190,5120,1,0.5734879970550537
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,47190,5120,2,0.5738912105560303
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,47190,5120,4,0.5738527774810791
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,47190,5120,8,0.5738560199737549
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,71280,5120,1,0.862179183959961
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,71280,5120,2,0.8621631622314453
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,71280,5120,4,0.8620415687561035
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,71280,5120,8,0.862063980102539
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,106480,5120,1,1.2840383529663086
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,106480,5120,2,1.2839967727661132
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,106480,5120,4,1.284227180480957
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,106480,5120,8,1.2840831756591797
