framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,requested_backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,71280,257,5,128,1,8,ulysses,0.12077440023422241
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,8910,512,40,128,1,8,ring,0.16357760429382323
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,8910,257,40,128,1,8,ring,0.12009279727935791
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,71280,512,5,128,2,4,ulysses,0.16301120519638063
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,71280,257,5,128,2,4,ulysses,0.12060799598693847
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,17820,512,20,128,2,4,ring,0.16280319690704345
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,17820,257,20,128,2,4,ring,0.12056640386581421
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,8910,8910,20,128,2,8,ring,1.0802592277526855
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,8910,512,20,128,2,8,ring,0.08719040155410766
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,8910,257,20,128,2,8,ring,0.06698880195617676
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,71280,512,5,128,4,2,ulysses,0.16246720552444457
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,71280,257,5,128,4,2,ulysses,0.11869440078735352
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,35640,512,10,128,4,2,ring,0.1625856041908264
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,35640,257,10,128,4,2,ring,0.12239680290222169
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,17820,512,10,128,4,4,ring,0.08695359826087952
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,17820,257,10,128,4,4,ring,0.06665279865264892
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,8910,8910,10,128,4,8,ring,0.5904799938201905
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,8910,512,10,128,4,8,ring,0.050620800256729125
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,8910,257,10,128,4,8,ring,0.040505599975585935
