framework,version,device,op_name,kernel_source,batch_size,seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,40,128,1,1,none,0.6345888137817383
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,20,128,1,2,ulysses,0.32366080284118653
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,40,128,1,2,ring,0.32997760772705076
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,1,4,ulysses,0.16634880304336547
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,40,128,1,4,ring,0.16415679454803467
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,1,8,ulysses,0.08884159922599792
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,40,128,1,8,ring,0.08384000062942505
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,20,128,2,1,none,0.3235584020614624
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,2,2,ulysses,0.16639039516448975
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,20,128,2,2,ring,0.16838079690933228
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,2,4,ulysses,0.08847360014915466
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,20,128,2,4,ring,0.08449919819831848
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,20,128,2,8,ring,0.04392960071563721
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,4,1,none,0.166486394405365
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,4,2,ulysses,0.08828799724578858
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,10,128,4,2,ring,0.08818560242652893
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,10,128,4,4,ring,0.04450879991054535
