framework,version,device,op_name,kernel_source,batch_size,seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,40,128,1,2,ring,0.3319360017776489
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,1,4,ulysses,0.16706559658050538
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,40,128,1,4,ring,0.16286079883575438
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,1,8,ulysses,0.08915519714355469
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,40,128,1,8,ring,0.08243520259857177
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,35640,20,128,2,2,ring,0.2775327920913696
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,20,128,2,1,none,0.3236095905303955
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,2,2,ulysses,0.1681056022644043
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,20,128,2,2,ring,0.1696735978126526
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,2,4,ulysses,0.09017599821090698
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,20,128,2,4,ring,0.08393599987030029
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,20,128,2,8,ring,0.04519680142402649
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,4,1,none,0.16702719926834106
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,4,2,ulysses,0.0896224021911621
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,10,128,4,4,ring,0.045372799038887024
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,10,128,4,8,ring,0.01732800006866455
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,8,1,none,0.08985599875450134
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,5,128,8,2,ring,0.049039998650550844
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,5,128,8,4,ring,0.019337600469589232
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,5,128,8,8,ring,0.011711999773979187
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,40,128,1,1,none,0.6932672023773193
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,20,128,1,2,ulysses,0.35237760543823243
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,40,128,1,2,ring,0.3553215980529785
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,1,4,ulysses,0.18131519556045533
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,40,128,1,4,ring,0.18108479976654052
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,1,8,ulysses,0.09653120040893555
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,40,128,1,8,ring,0.09078720211982727
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,10,128,4,2,ring,0.08916800022125244
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,20,128,2,1,none,0.35199360847473143
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,2,2,ulysses,0.18131840229034424
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,20,128,2,2,ring,0.1826464056968689
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,2,4,ulysses,0.0962336003780365
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,20,128,2,4,ring,0.09216960072517395
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,20,128,2,8,ring,0.04828479886054993
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,4,1,none,0.1810976028442383
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,4,2,ulysses,0.09639040231704712
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,10,128,4,2,ring,0.095004802942276
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,10,128,4,4,ring,0.049318400025367734
