framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,8910,512,40,128,1,8,ring,0.3015903949737549
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,71280,257,5,128,2,4,ulysses,0.20294721126556398
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,71280,512,5,128,2,4,ulysses,0.29706881046295164
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,17820,257,20,128,2,4,ring,0.20328640937805176
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,17820,512,20,128,2,4,ring,0.30190720558166506
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,8910,512,20,128,2,8,ring,0.1592128038406372
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,8910,257,20,128,2,8,ring,0.1109887957572937
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,71280,512,5,128,4,2,ulysses,0.30049920082092285
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,71280,257,5,128,4,2,ulysses,0.20319039821624757
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,35640,512,10,128,4,2,ring,0.3020031929016113
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,35640,257,10,128,4,2,ring,0.20472640991210939
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,8910,8910,20,128,2,8,ring,2.256800079345703
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,17820,512,10,128,4,4,ring,0.15989439487457274
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,17820,257,10,128,4,4,ring,0.10962560176849365
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,8910,512,10,128,4,8,ring,0.08928319811820984
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,8910,257,10,128,4,8,ring,0.0630016028881073
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,71280,512,5,128,8,1,none,0.2971168041229248
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,71280,257,5,128,8,1,none,0.20118401050567628
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,35640,512,5,128,8,2,ring,0.15897599458694459
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,35640,257,5,128,8,2,ring,0.11048640012741089
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,17820,17820,5,128,8,4,ring,2.452707290649414
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,17820,512,5,128,8,4,ring,0.08952640295028687
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,17820,257,5,128,8,4,ring,0.06305279731750488
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,8910,8910,5,128,8,8,ring,0.6602176189422607
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,8910,512,5,128,8,8,ring,0.04684480130672455
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,8910,257,5,128,8,8,ring,0.03304960131645203
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,43120,512,10,128,1,4,ulysses,0.35480000972747805
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,43120,257,10,128,1,4,ulysses,0.24023039340972902
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,8910,8910,10,128,4,8,ring,1.2537152290344238
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,10780,512,40,128,1,4,ring,0.3549407958984375
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,10780,257,40,128,1,4,ring,0.2389983892440796
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,43120,257,5,128,1,8,ulysses,0.1258463978767395
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,5390,5390,40,128,1,8,ring,1.742006492614746
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,5390,512,40,128,1,8,ring,0.19125759601593018
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,5390,257,40,128,1,8,ring,0.12959359884262084
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,43120,512,10,128,2,2,ulysses,0.35440959930419924
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,43120,257,10,128,2,2,ulysses,0.2405535936355591
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,21560,512,20,128,2,2,ring,0.3554431915283203
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,21560,257,20,128,2,2,ring,0.24081919193267823
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,43120,512,5,128,2,4,ulysses,0.1847615957260132
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,43120,257,5,128,2,4,ulysses,0.12672959566116332
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,10780,512,20,128,2,4,ring,0.1850783944129944
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,10780,257,20,128,2,4,ring,0.12803200483322144
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,43120,512,5,128,1,8,ulysses,0.18517440557479858
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,5390,512,20,128,2,8,ring,0.10507839918136597
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,5390,257,20,128,2,8,ring,0.07486079931259156
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,43120,512,10,128,4,1,none,0.35406079292297366
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,43120,257,10,128,4,1,none,0.24026880264282227
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,43120,512,5,128,4,2,ulysses,0.185097599029541
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,43120,257,5,128,4,2,ulysses,0.12725759744644166
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,21560,512,10,128,4,2,ring,0.1851423978805542
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,21560,257,10,128,4,2,ring,0.12743040323257446
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,10780,10780,10,128,4,4,ring,1.7754047393798829
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,10780,512,10,128,4,4,ring,0.10540159940719604
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,10780,257,10,128,4,4,ring,0.07376319766044617
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,5390,5390,10,128,4,8,ring,0.5189087867736817
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,5390,512,10,128,4,8,ring,0.05818560123443604
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,5390,257,10,128,4,8,ring,0.04041279852390289
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,5390,5390,20,128,2,8,ring,0.9073823928833008
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,43120,257,5,128,8,1,none,0.1274623990058899
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,21560,512,5,128,8,2,ring,0.10476160049438477
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,21560,257,5,128,8,2,ring,0.07274879813194275
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,10780,10780,5,128,8,4,ring,1.0111776351928712
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,10780,512,5,128,8,4,ring,0.05825600028038025
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,10780,257,5,128,8,4,ring,0.040294399857521056
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,5390,5390,5,128,8,8,ring,0.25975680351257324
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,5390,512,5,128,8,8,ring,0.030950400233268737
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,5390,257,5,128,8,8,ring,0.02174399942159653
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,106480,512,5,128,1,8,ulysses,0.4345376014709473
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,43120,512,5,128,8,1,none,0.18573759794235228
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,13310,512,40,128,1,8,ring,0.4376704216003418
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,106480,512,5,128,2,4,ulysses,0.4347392082214355
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,26620,512,20,128,2,4,ring,0.43715839385986327
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,106480,512,5,128,4,2,ulysses,0.43571200370788576
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,53240,512,10,128,4,2,ring,0.435968017578125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,26620,512,10,128,4,4,ring,0.22655680179595947
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,self_attn,sdpa,1,13310,13310,10,128,4,8,ring,2.4575647354125976
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,13310,512,10,128,4,8,ring,0.11887680292129517
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,106480,512,5,128,8,1,none,0.4481247901916504
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,53240,512,5,128,8,2,ring,0.23083200454711914
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,26620,512,5,128,8,4,ring,0.12231040000915527
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,13310,512,20,128,2,8,ring,0.22476480007171631
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,13310,512,5,128,8,8,ring,0.05917440056800842
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,47190,512,10,128,1,4,ulysses,0.376310396194458
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,self_attn,sdpa,1,13310,13310,5,128,8,8,ring,1.2783552169799806
