system,phase,operation,latency_ms,share_pct
h100_sxm,prefill,context_qkv_a_proj_gemm,10.404475316926305,0.6347414643991215
h100_sxm,prefill,context_embedding,0.024910543283582085,0.0015197070723091217
h100_sxm,prefill,context_add_norm_1,5.52917256119403,0.337315912768636
h100_sxm,prefill,context_downscale_gemm,10.404475316926305,0.6347414643991215
h100_sxm,prefill,context_attention_module_or_analytical,178.8439388234002,10.910657209498574
h100_sxm,prefill,context_gate_ffn1_gemm,16.204467701626236,0.9885791686204024
h100_sxm,prefill,context_act_gate,1.328608405970149,0.08105385610810502
h100_sxm,prefill,context_ffn2_gemm,7.721942571607726,0.4710893136470231
h100_sxm,prefill,context_moe_pre_dispatch,1146.2193971200002,69.92692629747727
h100_sxm,prefill,context_moe,262.4860365646938,16.013375606009447
h100_sxm,decode,generation_qkv_a_proj_gemm,580.189440776766,1.7504263377656228
h100_sxm,decode,generation_embedding,1.8424515010415354,0.005558659649443347
h100_sxm,decode,generation_add_norm_1,140.9992473352158,0.4253934642627413
h100_sxm,decode,generation_downscale_gemm,580.189440776766,1.7504263377656228
h100_sxm,decode,generation_attention_module_or_analytical,8569.056716944777,25.85276723937962
h100_sxm,decode,generation_gate_ffn1_gemm,825.4622772481841,2.4904122849818546
h100_sxm,decode,generation_act_gate,111.02717462202509,0.33496798977572556
h100_sxm,decode,generation_ffn2_gemm,554.613439079633,1.6732637700955486
h100_sxm,decode,generation_moe_pre_dispatch,8178.561223264868,24.674645838202487
h100_sxm,decode,generation_moe,13603.665933308426,41.04213807812134
h200_sxm,prefill,context_embedding,0.018291733333333334,0.00321154371274992
h200_sxm,prefill,context_add_norm_1,3.914182933333334,0.6872268122995292
h200_sxm,prefill,context_downscale_gemm,9.349368589046213,1.6415014019265328
h200_sxm,prefill,context_mla_block,175.49179416599824,30.811709197944506
h200_sxm,prefill,context_add_norm_2,3.914182933333334,0.6872268122995292
h200_sxm,prefill,context_shared_gate_up_gemm,15.150383113439378,2.660005847835751
h200_sxm,prefill,context_shared_act_gate,0.9825392000000002,0.17250785001004115
h200_sxm,prefill,context_shared_ffn2_gemm,7.419990713214872,1.3027537680238805
h200_sxm,prefill,context_router_gemm,2.2165154806681873,0.38916138926980404
h200_sxm,prefill,context_moe_pre_dispatch,69.6487480888889,12.22847474045329
h200_sxm,prefill,context_moe,211.30167203306618,37.098974927362775
h200_sxm,prefill,context_moe_post_dispatch,69.6487480888889,12.22847474045329
h200_sxm,prefill,context_logits_gemm,0.5056057233224927,0.08877096840831888
h200_sxm,prefill,context_p2p,0.0,0.0
h200_sxm,decode,generation_embedding,1.9714797908728385,0.0052826646732277655
h200_sxm,decode,generation_add_norm_1,172.482150054054,0.4621733203004424
h200_sxm,decode,generation_downscale_gemm,530.510348147517,1.4215252359750992
h200_sxm,decode,generation_mla_module_or_analytical,13880.806660171931,37.19421691212488
h200_sxm,decode,generation_add_norm_2,172.482150054054,0.4621733203004424
h200_sxm,decode,generation_moe_overlap,22113.786829781653,59.254840459336926
h200_sxm,decode,generation_logits_gemm,447.7584919231578,1.1997880872889821
h200_sxm,decode,generation_p2p,0.0,0.0
rtx_pro_6000_server,prefill,context_embedding,0.04396,0.00805146912924621
rtx_pro_6000_server,prefill,context_add_norm_1,10.17724,1.864006680639893
rtx_pro_6000_server,prefill,context_downscale_gemm,20.316223382314313,3.7210064919375276
rtx_pro_6000_server,prefill,context_mla_block,47.70457769238249,8.7373051550033
rtx_pro_6000_server,prefill,context_add_norm_2,10.17724,1.864006680639893
rtx_pro_6000_server,prefill,context_shared_gate_up_gemm,10.429309870217516,1.9101743962556674
rtx_pro_6000_server,prefill,context_shared_act_gate,0.4507028571428571,0.08254822886143719
rtx_pro_6000_server,prefill,context_shared_ffn2_gemm,3.954959186271323,0.724368330202281
rtx_pro_6000_server,prefill,context_router_gemm,5.150844753279172,0.943400080085693
rtx_pro_6000_server,prefill,context_moe_pre_dispatch,156.7096832,28.70207407958948
rtx_pro_6000_server,prefill,context_moe,123.9924092332038,22.7097601274341
rtx_pro_6000_server,prefill,context_moe_post_dispatch,156.7096832,28.70207407958948
rtx_pro_6000_server,prefill,context_logits_gemm,0.1704801742078194,0.03122420063200123
rtx_pro_6000_server,prefill,context_p2p,0.0,0.0
rtx_pro_6000_server,decode,generation_embedding,1.8884480283562242,0.0037853862372391033
rtx_pro_6000_server,decode,generation_add_norm_1,152.22239999999994,0.30512916919459493
rtx_pro_6000_server,decode,generation_downscale_gemm,815.8688450515932,1.6354057146802734
rtx_pro_6000_server,decode,generation_mla_module_or_analytical,6562.267970582427,13.154038918688162
rtx_pro_6000_server,decode,generation_add_norm_2,152.22239999999994,0.30512916919459493
rtx_pro_6000_server,decode,generation_moe_overlap,42096.07996298407,84.38141761957878
rtx_pro_6000_server,decode,generation_logits_gemm,107.30579579074498,0.21509402242636358
rtx_pro_6000_server,decode,generation_p2p,0.0,0.0
