model_key,system,case_id,series,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,4,0.216,1,8,1,1,4,1,3616.182,16.671,20670.615,0.216,0.003,221.389,3.459,59.985,3.982,0.235,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,57.764,sglang,0.5.10,a100_sxm,0.0,3.459
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,256,5.78,1,16,1,8,256,1,4484.518,33.799,39060.895,5.78,0.09,5918.515,92.477,29.587,6.422,7.404,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,76.823,sglang,0.5.10,a100_sxm,0.0,92.477
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,160,4.929,1,16,1,5,160,1,4484.518,29.189,34344.865,4.929,0.077,5047.665,78.87,34.259,6.422,5.358,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,75.818,sglang,0.5.10,a100_sxm,0.0,78.87
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,64,2.388,1,16,1,4,64,1,4484.518,24.098,29136.772,2.388,0.037,2445.64,38.213,41.498,6.422,2.596,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,66.047,sglang,0.5.10,a100_sxm,0.0,38.213
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.607,1,16,1,3,12,1,4484.518,17.77,22663.228,0.607,0.009,621.773,9.715,56.275,6.422,0.66,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,58.434,sglang,0.5.10,a100_sxm,0.0,9.715
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,8,0.542,1,16,1,1,8,1,4484.518,13.269,18058.705,0.542,0.008,554.885,8.67,75.364,6.422,0.589,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,60.206,sglang,0.5.10,a100_sxm,0.0,8.67
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,4,0.375,1,16,1,1,4,1,4484.518,9.589,14294.065,0.375,0.006,384.369,6.006,104.289,6.422,0.408,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,57.764,sglang,0.5.10,a100_sxm,0.0,6.006
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,224,4.628,1,8,1,7,224,1,2800.611,39.339,43044.408,4.628,0.072,4738.867,74.045,25.42,5.142,5.566,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,76.488,sglang,0.5.10,a100_sxm,0.0,74.045
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,128,3.396,1,8,1,4,128,1,2800.611,33.897,37477.242,3.396,0.053,3477.217,54.332,29.502,5.142,3.691,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,75.483,sglang,0.5.10,a100_sxm,0.0,54.332
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,64,1.961,1,8,1,4,64,1,2800.611,29.353,32828.73,1.961,0.031,2007.572,31.368,34.068,5.142,2.131,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,66.047,sglang,0.5.10,a100_sxm,0.0,31.368
