scenario,routed,shared,overlap_latency_ms_per_step,critical_group,speedup_vs_baseline
H100 compute only,41.06209933657998,0.822889475835763,41.06209933657998,routed,1.0021318672771535
H100 memory BW only,23.541232132260205,0.6644826125226797,23.541232132260205,routed,1.7479815011932456
H100 topology + resources,22.108433943110093,0.6644826125226797,22.108433943110093,routed,1.8612642753608877
H100 topology only,39.80437903924362,0.822889475835763,39.80437903924362,routed,1.0337967649719377
PRO6000 baseline,41.14963828248686,0.822889475835763,41.14963828248686,routed,1.0
