case_id,model_key,model_path,system,mode,analytical_level,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,series,error_type,error
deepseek_v3__rtx_pro_6000_server__analytical__standard,deepseek_v3,deepseek-ai/DeepSeek-V3,rtx_pro_6000_server,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,48.0,29.499,0.922,5.147459268569946,ANALYTICAL-standard,,
deepseek_v3__rtx_pro_6000_server__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,rtx_pro_6000_server,SILICON,,sglang,0.5.10,disagg,4096,1024,32,skipped,,,,0.0593876838684082,SILICON,RuntimeError,"No results found for any parallel configuration. Showing last exception: Error loading silicon data for op PerfDataFilename.wideep_context_mla: File does not exist at /home/ai_lab/ljc/scale-up-sim/aiconfigurator/src/aiconfigurator/systems/data/rtx_pro_6000_server/sglang/0.5.10/wideep_context_mla_perf.txt. This combination of model, system, backend, and backend version is not supported by AIC in SILICON mode. Failed to query wideep context mla data for b=1, s=4096, prefix=0, tp_size=8, kvcache_quant_mode=<KVCacheQuantMode.bfloat16: QuantMapping(memory=2, compute=0, name='bfloat16')>, fmha_quant_mode=<FMHAQuantMode.fp8_block: QuantMapping(memory=1, compute=2, name='fp8_block')>. Consider using HYBRID mode."
llama31_70b__a100_sxm__analytical__high,llama31_70b,meta-llama/Meta-Llama-3.1-70B,a100_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,38.0,119.462,2.8,2.4648780822753906,ANALYTICAL-high,,
llama31_70b__a100_sxm__analytical__low,llama31_70b,meta-llama/Meta-Llama-3.1-70B,a100_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,30.0,168.307,3.945,2.4366557598114014,ANALYTICAL-low,,
llama31_70b__a100_sxm__analytical__standard,llama31_70b,meta-llama/Meta-Llama-3.1-70B,a100_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,34.0,150.682,3.532,2.5714991092681885,ANALYTICAL-standard,,
llama31_70b__a100_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,a100_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,30.0,145.037,3.399,3.5013768672943115,SILICON,,
llama31_70b__b200_sxm__analytical__high,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,49.0,634.982,19.74,6.927372694015503,ANALYTICAL-high,,
llama31_70b__b200_sxm__analytical__low,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,49.0,953.77,29.805,6.940644264221191,ANALYTICAL-low,,
llama31_70b__b200_sxm__analytical__standard,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,50.0,831.6,25.988,6.614682674407959,ANALYTICAL-standard,,
llama31_70b__b200_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,44.0,843.034,19.759,8.398931503295898,SILICON,,
