system,phase,group,latency_ms,share_pct
h100_sxm,decode,MLA / attention,8569.056716944777,25.85276723937962
h100_sxm,decode,MoE / dispatch,21782.227156573295,65.71678391632383
h100_sxm,decode,Norm / elementwise,140.9992473352158,0.4253934642627413
h100_sxm,decode,Other,112.86962612306662,0.3405266494251689
h100_sxm,decode,Other GEMM,2540.4545978813494,7.66452873060865
h100_sxm,prefill,MLA / attention,178.8439388234002,10.910657209498574
h100_sxm,prefill,MoE / dispatch,1408.705433684694,85.94030190348671
h100_sxm,prefill,Norm / elementwise,5.52917256119403,0.337315912768636
h100_sxm,prefill,Other,1.3535189492537312,0.08257356318041413
h100_sxm,prefill,Other GEMM,44.73536090708657,2.7291514110656685
h200_sxm,decode,Communication,0.0,0.0
h200_sxm,decode,MLA / attention,13880.806660171931,37.19421691212488
h200_sxm,decode,MoE / dispatch,22113.786829781653,59.25484045933692
h200_sxm,decode,Norm / elementwise,344.964300108108,0.9243466406008847
h200_sxm,decode,Other,1.9714797908728385,0.0052826646732277655
h200_sxm,decode,Other GEMM,978.2688400706747,2.621313323264081
h200_sxm,prefill,Communication,0.0,0.0
h200_sxm,prefill,MLA / attention,175.49179416599824,30.811709197944502
h200_sxm,prefill,MoE / dispatch,350.59916821084397,61.555924408269355
h200_sxm,prefill,Norm / elementwise,7.828365866666668,1.3744536245990584
h200_sxm,prefill,Other,1.0008309333333334,0.17571939372279105
h200_sxm,prefill,Other GEMM,34.641863619691144,6.082193375464287
rtx_pro_6000_server,decode,Communication,0.0,0.0
rtx_pro_6000_server,decode,MLA / attention,6562.267970582427,13.154038918688164
rtx_pro_6000_server,decode,MoE / dispatch,42096.07996298407,84.38141761957878
rtx_pro_6000_server,decode,Norm / elementwise,304.4447999999999,0.6102583383891899
rtx_pro_6000_server,decode,Other,1.8884480283562242,0.0037853862372391038
rtx_pro_6000_server,decode,Other GEMM,923.1746408423382,1.8504997371066372
rtx_pro_6000_server,prefill,Communication,0.0,0.0
rtx_pro_6000_server,prefill,MLA / attention,47.70457769238249,8.7373051550033
rtx_pro_6000_server,prefill,MoE / dispatch,437.4117756332038,80.11390828661305
rtx_pro_6000_server,prefill,Norm / elementwise,20.35448,3.7280133612797863
rtx_pro_6000_server,prefill,Other,0.4946628571428571,0.0905996979906834
rtx_pro_6000_server,prefill,Other GEMM,40.02181736629014,7.33017349911317
