model_key,system,case_id,series,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
deepseek_v3,b300_sxm,deepseek_v3__b300_sxm__silicon,SILICON,deepseek-ai/DeepSeek-V3,4096,1024,0,2592,34.52,1,4,5,216,864,3,938.585,64.674,67100.087,34.52,1.079,35347.968,1104.624,15.462,7.671,13.059,32,1,1,4,4,1,tp1pp1dp4etp4ep1,fp8,bfloat16,bfloat16,fp8_block,half,201.007,sglang,0.5.10,b300_sxm,1,1,4,4,1,tp1pp1dp4etp4ep1,fp8,bfloat16,bfloat16,fp8_block,half,254.53,sglang,0.5.10,b300_sxm,0.0,1104.624
deepseek_v3,h100_sxm,deepseek_v3__h100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,352,7.038,1,16,1,22,352,1,3682.856,44.916,49631.924,7.038,0.22,7206.912,225.216,22.264,7.82,7.661,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.523,sglang,0.5.10,h100_sxm,0.0,225.216
deepseek_v3,h100_sxm,deepseek_v3__h100_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,320,8.638,1,16,1,20,320,1,3000.627,24.806,28377.165,8.638,0.27,8845.517,276.422,40.312,9.598,12.61,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,66.853,sglang,0.5.10,h100_sxm,0.0,276.422
deepseek_v3,h100_sxm,deepseek_v3__h100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,416,7.987,1,16,1,26,416,1,3245.551,34.992,39042.367,7.987,0.25,8178.278,255.571,28.578,8.874,11.621,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,68.863,sglang,0.5.10,h100_sxm,0.0,255.571
deepseek_v3,h100_sxm,deepseek_v3__h100_sxm__silicon,SILICON,deepseek-ai/DeepSeek-V3,4096,1024,0,96,4.965,1,1,1,96,96,1,404.051,34.778,35981.945,4.965,0.155,5084.406,158.888,28.754,8.91,5.397,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,2,4,tp8pp2dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,79.256,sglang,0.5.10,h100_sxm,0.0,158.888
deepseek_v3,h200_sxm,deepseek_v3__h200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,576,8.664,1,8,1,72,576,1,1495.838,59.093,61947.977,8.664,0.542,8872.243,554.515,16.922,9.627,9.528,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,h200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,125.383,sglang,0.5.10,h200_sxm,0.0,554.515
deepseek_v3,h200_sxm,deepseek_v3__h200_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,480,14.1,1,8,1,60,480,1,919.102,29.498,31095.556,14.1,0.881,14438.707,902.419,33.901,15.667,15.907,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,h200_sxm,1,1,8,4,2,tp1pp1dp8etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,121.447,sglang,0.5.10,h200_sxm,0.0,902.419
deepseek_v3,h200_sxm,deepseek_v3__h200_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,544,11.492,1,8,1,68,544,1,1127.732,39.399,41432.909,11.492,0.718,11767.91,735.494,25.381,12.769,13.497,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,h200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,124.042,sglang,0.5.10,h200_sxm,0.0,735.494
deepseek_v3,h200_sxm,deepseek_v3__h200_sxm__silicon,SILICON,deepseek-ai/DeepSeek-V3,4096,1024,0,320,7.716,1,8,1,40,320,1,1679.771,34.368,36838.235,7.716,0.482,7900.877,493.805,29.097,8.573,9.102,16,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,137.045,sglang,0.5.10,h200_sxm,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,114.807,sglang,0.5.10,h200_sxm,0.0,493.805
deepseek_v3,rtx_pro_6000_server,deepseek_v3__rtx_pro_6000_server__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,54,0.591,1,1,1,18,18,3,1277.698,82.391,85563.691,0.591,0.018,604.815,18.9,12.137,1.409,0.214,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,95.423,sglang,0.5.10,rtx_pro_6000_server,0.0,18.9
