case,stage,batch_size,input_len,num_heads,tp_size,bf16_graph_ms,fp8_graph_ms,fp8_over_bf16_graph,bf16_database_ms,fp8_database_ms,fp8_over_bf16_database
prefill_b1_s256,prefill,1,256,128,1,0.026013120021671058,0.04004096020013094,1.5392601951159086,0.02301120012998581,0.03753759860992432,1.6312751354940942
prefill_b1_s2048,prefill,1,2048,128,1,0.2993203207850456,0.3610697615146637,1.206298859254407,0.29507999420166015,0.3550944089889526,1.2033835433325857
decode_b1_step255,decode,1,255,128,1,0.023674560002982615,0.026478720009326936,1.1184461297692985,0.018211199343204497,0.024166400730609893,1.3270076437677114
decode_b1_step2047,decode,1,2047,128,1,0.02459263989701867,0.03283071983605623,1.3349815218510255,0.021907199919223786,0.03027999997138977,1.3821939856776844
decode_b64_step32767,decode,64,32767,128,1,0.9363635188341141,4.461786575317383,4.765015387264176,0.902683162689209,4.452476882934571,4.93249134022847
