framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency,ops,mem_bytes,intensity_op,intensity_hw,rel_ratio,sol_math,sol_mem,mfu,mbu
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,32,1024,1,4,3,0.0890080034732818,285212672,74842112,3.810858143607706,312.5,0.012194746059544658,0.0001140850688,0.009355264,0.0012817394430630698,0.10510587402185961
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,16,1024,1,8,3,0.0459946642319361,142606336,37421056,3.810858143607706,625.0,0.006097373029772329,2.85212672e-05,0.004677632,0.0006200994762387338,0.10169944879719583
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,16,1024,1,8,3,0.0559146652619043,142606336,39190528,3.6387959866220734,312.5,0.011644147157190634,5.70425344e-05,0.004898816,0.001020171257984158,0.08761236389512385
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,8,1024,1,16,3,0.0376800000667572,71303168,19595264,3.6387959866220734,625.0,0.005822073578595317,1.42606336e-05,0.002449408,0.00037846692077321147,0.06500552005468188
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,8,1024,1,16,3,0.047925333182017,71303168,21364736,3.3374233128834354,312.5,0.010679754601226993,2.85212672e-05,0.0026705920000000003,0.0005951188089121522,0.055724015310593296
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,4,1024,1,32,3,0.035690667728583,35651584,10682368,3.3374233128834354,625.0,0.005339877300613497,7.1303168e-06,0.0013352960000000001,0.00019978098628537733,0.03741302937099783
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,4,1024,1,32,3,0.0477919975916544,35651584,12451840,2.863157894736842,312.5,0.009162105263157895,1.42606336e-05,0.0015564799999999998,0.0002983895697737112,0.03256779541418033
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,2,1024,1,64,3,0.0355786656339963,17825792,6225920,2.863157894736842,625.0,0.0045810526315789475,3.5651584e-06,0.0007782399999999999,0.00010020494969303746,0.021873782676559185
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,2,1024,1,64,3,0.0479199985663096,17825792,7995392,2.2295081967213113,312.5,0.0071344262295081964,7.1303168e-06,0.0009994239999999998,0.00014879626488580503,0.020856094113129834
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,1,1024,1,128,3,0.0357439989844957,8912896,3997696,2.2295081967213113,625.0,0.0035672131147540982,1.7825792e-06,0.0004997119999999999,4.987072657352108e-05,0.013980304783937431
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,1,1024,1,128,3,0.0478720019261042,8912896,5767168,1.5454545454545454,312.5,0.004945454545454545,3.5651584e-06,0.0007208960000000001,7.447272427635723e-05,0.015058822923528116
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,128,1024,1,1,7,0.1402186652024587,2281701376,289341440,7.885843714609287,625.0,0.012617349943374859,0.0004563402752,0.03616768,0.00325449022454393,0.2579377000043344
