tag,aic_model,op_name,op_order,latency_ms,source,batch_size,fresh_len,prefix_len,tp_size,x_tokens,kvcache_quant_mode,fmha_quant_mode,gemm_quant_mode
req1_equal_fresh_irregular_b12_f300_p0,DeepSeekModel,context_downscale_gemm,1,0.11539304425088714,silicon,12,300,0,1,3600,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b12_f300_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.2293309859246852,silicon,12,300,0,1,3600,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b12_f300_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.12936463625510808,silicon,12,300,0,1,3600,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b12_f300_p0,DeepSeekModel,context_attention,4,0.35094933312980137,silicon,12,300,0,1,3600,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b12_f300_p0,DeepSeekModel,context_proj_gemm,5,0.6867076057234621,silicon,12,300,0,1,3600,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f4500_p0,DeepSeekModel,context_downscale_gemm,1,0.15305830140971385,silicon,1,4500,0,1,4500,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f4500_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.284963384363444,silicon,1,4500,0,1,4500,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f4500_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.16593566408234747,silicon,1,4500,0,1,4500,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f4500_p0,DeepSeekModel,context_attention,4,1.3559594758352478,silicon,1,4500,0,1,4500,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f4500_p0,DeepSeekModel,context_proj_gemm,5,0.8515760074741453,silicon,1,4500,0,1,4500,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f6000_p0,DeepSeekModel,context_downscale_gemm,1,0.19067269115875446,silicon,1,6000,0,1,6000,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f6000_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.3675605486404585,silicon,1,6000,0,1,6000,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f6000_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.22454988429538672,silicon,1,6000,0,1,6000,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f6000_p0,DeepSeekModel,context_attention,4,2.1907505398438887,silicon,1,6000,0,1,6000,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b1_f6000_p0,DeepSeekModel,context_proj_gemm,5,1.1238754047836423,silicon,1,6000,0,1,6000,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b4_f1200_p0,DeepSeekModel,context_downscale_gemm,1,0.16058117935952199,silicon,4,1200,0,1,4800,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b4_f1200_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.3014828172188469,silicon,4,1200,0,1,4800,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b4_f1200_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.17765850812495532,silicon,4,1200,0,1,4800,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b4_f1200_p0,DeepSeekModel,context_attention,4,0.6806021711483153,silicon,4,1200,0,1,4800,fp8,bfloat16,fp8_block
req1_equal_fresh_irregular_b4_f1200_p0,DeepSeekModel,context_proj_gemm,5,0.9060358869360448,silicon,4,1200,0,1,4800,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b1_f8192_p0,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b1_f8192_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b1_f8192_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b1_f8192_p0,DeepSeekModel,context_attention,4,3.731515121459961,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b1_f8192_p0,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b2_f4096_p0,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,2,4096,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b2_f4096_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,2,4096,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b2_f4096_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,2,4096,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b2_f4096_p0,DeepSeekModel,context_attention,4,2.120439910888672,silicon,2,4096,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b2_f4096_p0,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,2,4096,0,1,8192,fp8,bfloat16,fp8_block
