transition,operator,phase,hardware,hardware_label,engine,version,target_combination,matched_shapes,ratio_p10,ratio_p50,ratio_p90,target_faster_pct,kernel_source_changed_pct,base_kernel_sources,target_kernel_sources,small_shapes,small_ratio_p10,small_ratio_p50,small_ratio_p90,small_target_faster_pct,large_shapes,large_ratio_p10,large_ratio_p50,large_ratio_p90,large_target_faster_pct,large_minus_small_p50,size_pattern,workload_ratio_spearman
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,l40s,L40S,trtllm,1.0.0,BF16/FP8,9764,0.954892968661508,0.9970749380546096,1.028985516415828,53.25686194182712,0.0,torch_flow:9764,torch_flow:9764,2471,0.979591903403192,1.0086956549247459,1.040000014551907,26.14326183731283,2567,0.9619689860551313,0.9969126109414579,1.0310177396007378,55.239579275418784,-0.011783043983288,small_slower_large_faster,-0.1679844596703731
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,l40s,L40S,vllm,0.14.0,BF16/FP8,5049,0.1403443096786661,0.9239893912706526,2.0715018689646056,54.426619132501486,100.0,vllm_flash_attn:5049,vllm_flashinfer:5049,1271,0.8555204364582912,1.4403239462353696,2.0902062756562003,24.154209284028326,1279,0.0641944931595223,0.26077954769658,1.9908708666581307,79.59343236903831,-1.1795443985387897,small_slower_large_faster,-0.514942432442834
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,h100_sxm,H100 SXM,sglang,0.5.10,BF16/FP8,5627,0.7849311554902407,0.9173750899202038,1.027351070743589,77.64350453172206,0.0,flash_attention:5627,flash_attention:5627,1481,0.9539462703652838,0.9998978616956073,1.0372474282685678,50.033760972316,1482,0.7563574900005654,0.811734003947536,0.9079141238827081,99.05533063427801,-0.18816385774807132,target_faster_both,-0.7228281187935403
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,h100_sxm,H100 SXM,trtllm,1.3.0rc10,BF16/FP8,16846,0.8169605743970199,0.9739654521197649,1.2959900281513075,56.8799715065891,0.0,torch_flow:16846,torch_flow:16846,4350,0.9495862257719754,1.0153539964935758,1.3300761695896783,39.08045977011494,4334,0.7045526759587644,0.8503866713674145,0.932911324591518,93.7471158283341,-0.1649673251261613,small_slower_large_faster,-0.5874725892532494
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,h100_sxm,H100 SXM,vllm,0.19.0,BF16/FP8,20196,0.9198348459441419,1.0054039935938845,1.2172672857447653,47.60348583877996,0.0,vllm_flash_attn:20196,vllm_flash_attn:20196,5300,0.9332958861978647,0.9902436444534355,1.1368027326858745,58.84905660377358,5076,0.9257302119700261,1.0432759795000102,1.207928371420856,46.04018912529551,0.053032335046574675,small_faster_large_slower,0.09637564455179895
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,h200_sxm,H200 SXM,sglang,0.5.10,BF16/FP8,5627,0.795723702966094,0.9295474471068076,1.029029010937907,74.78229962679936,0.0,flash_attention:5627,flash_attention:5627,1481,0.9540403352505809,1.001826307643844,1.0403066455530006,48.48075624577988,1482,0.7683949427017681,0.8179256037027263,0.9180840855338133,99.19028340080972,-0.1839007039411178,small_slower_large_faster,-0.7536773739154994
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,h200_sxm,H200 SXM,trtllm,1.3.0rc10,BF16/FP8,16845,0.8162748593747551,0.9807914991652913,1.2999241454237074,55.185514989611164,0.0,torch_flow:16845,torch_flow:16845,4350,0.9552063346372375,1.0143464952502033,1.3261453861611605,38.827586206896555,4333,0.6904652307077551,0.8527799207183111,0.9676691270040504,92.29171474728825,-0.16156657453189216,small_slower_large_faster,-0.5552764293075391
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,h200_sxm,H200 SXM,vllm,0.19.0,BF16/FP8,18714,0.9179400429503499,0.9995374364643963,1.2084486517197188,50.058779523351504,0.0,vllm_flash_attn:18714,vllm_flash_attn:18714,4804,0.9300554622288656,0.9863388101548084,1.141243558385923,61.86511240632806,4771,0.9045947687654431,1.0749313447000517,1.2410292763201936,41.75225319639488,0.0885925345452433,small_faster_large_slower,0.12337989913167546
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,b200_sxm,B200 SXM,sglang,0.5.10,BF16/FP8,11238,0.7930390968538727,0.9483704326865281,1.0594675468789145,72.85104111051788,0.0,trtllm_mha:11238,trtllm_mha:11238,2956,0.8462620092912471,0.9898923980450143,1.0099066916875343,71.34641407307171,2813,0.7321662274695165,0.8212642610052292,1.0011379119117896,89.8684678279417,-0.16862813703978508,target_faster_both,-0.39376716923038824
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,b200_sxm,B200 SXM,trtllm,1.3.0rc10,BF16/FP8,21064,0.9854732222206021,1.0038939150006494,1.0283505284420882,35.885871629320164,0.0,torch_flow:21064,torch_flow:21064,5571,0.9879773604317058,1.0037581766903825,1.0474446642638535,35.77454676000718,5298,0.9721455730025887,1.0054394302835594,1.0312249549872665,37.25934314835787,0.0016812535931769457,target_slower_both,-0.005964100835374603
