transition,operator,phase,hardware,hardware_label,engine,version,base_rows,base_unique_shapes,target_rows,target_unique_shapes,matched_shapes,base_only_shapes,target_only_shapes,ratio_p10,ratio_p50,ratio_p90,target_faster_pct,latency_exact_equal_pct,latency_within_1pct_pct,kernel_source_changed_pct,base_kernel_sources,target_kernel_sources
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,gb300,GB300,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.7879481429421858,0.8845478243098704,1.0026562579191527,88.62626621645637,0.01777145903678692,9.596587879864938,0.0,trtllm_mha:5627,trtllm_mha:5627
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,gb300,GB300,trtllm,1.3.0rc10,21064,21064,21064,21064,21064,0,0,0.9853517802292461,1.0038759990461927,1.0272524337092162,36.2419293581466,0.4272692745917205,51.31978731484998,0.0,torch_flow:21064,torch_flow:21064
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,gb300,GB300,vllm,0.19.0,10908,10092,10908,10092,10092,0,0,0.6979225103360609,0.8677668805617729,0.9878778092978315,93.26198969480777,0.06936187078874356,5.023781212841855,0.0,vllm_flashinfer:10092,vllm_flashinfer:10092
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,11174,11174,11174,11174,11174,0,0,1.0812783044621699,1.25518173272687,1.7831252773850195,0.2505817075353499,0.0,0.4743153749776266,0.0,triton:11174,triton:11174
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,21064,21064,21064,21064,21064,0,0,0.94374576191329,0.994990413913869,1.0139819126217882,65.34846183061147,0.33706798328902393,46.63406760349411,0.0,torch_flow:21064,torch_flow:21064
attention_prefill_bf16_fp8kv_vs_bf16_bf16kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,10908,10092,10908,10092,10092,0,0,0.02454950896012351,0.5530742032961216,1.5222103396868036,66.98374950455806,0.05945303210463733,2.0610384462940945,100.0,vllm_flash_attn:10092,vllm_flashinfer:10092
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,a100_sxm,A100 SXM,sglang,0.5.10,5627,5627,0,0,0,5627,0,,,,,,,,flash_attention:5627,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,a100_sxm,A100 SXM,trtllm,1.0.0,4864,4864,0,0,0,4864,0,,,,,,,,torch_flow:4864,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,a100_sxm,A100 SXM,vllm,0.14.0,5457,5049,0,0,0,5049,0,,,,,,,,vllm_flash_attn:5049,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,l40s,L40S,sglang,0.5.10,5627,5627,0,0,0,5627,0,,,,,,,,flash_attention:5627,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,l40s,L40S,trtllm,1.0.0,9764,9764,9794,9794,9758,6,36,0.6186365210295165,0.9699042968492512,1.500000000000002,50.901824144291865,0.42016806722689076,0.7378561180569789,0.0,torch_flow:9764,torch_flow:9794
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,l40s,L40S,vllm,0.14.0,5457,5049,0,0,0,5049,0,,,,,,,,vllm_flash_attn:5049,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,h100_sxm,H100 SXM,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.7865477068786291,0.9179828660310058,1.025894358582687,77.41247556424382,0.03554291807357384,9.330015994313133,0.0,flash_attention:5627,flash_attention:5627
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,h100_sxm,H100 SXM,trtllm,1.3.0rc10,16848,16848,16881,16881,16848,0,33,0.8339174842982965,0.9731030673137133,1.279997932211775,57.75166191832859,0.05341880341880342,5.650522317188984,0.0,torch_flow:16848,torch_flow:16881
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,h100_sxm,H100 SXM,vllm,0.19.0,21828,20196,0,0,0,20196,0,,,,,,,,vllm_flash_attn:20196,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,h200_sxm,H200 SXM,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.7971214187589435,0.928453821148073,1.02827008299048,75.0133285942776,0.03554291807357384,9.489959125644216,0.0,flash_attention:5627,flash_attention:5627
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,h200_sxm,H200 SXM,trtllm,1.3.0rc10,16848,16848,16881,16881,16848,0,33,0.8356600237174392,0.9788332466024561,1.2937289480430239,56.57051282051282,0.059354226020892686,6.196581196581197,0.0,torch_flow:16848,torch_flow:16881
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,h200_sxm,H200 SXM,vllm,0.19.0,24974,18714,0,0,0,18714,0,,,,,,,,vllm_flash_attn:18714,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b200_sxm,B200 SXM,sglang,0.5.10,11238,11238,11238,11238,11238,0,0,0.7950290091265035,0.9480520591369176,1.0583138004644035,72.90443139348639,0.2847481758319986,18.820074746396156,0.0,trtllm_mha:11238,trtllm_mha:11238
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b200_sxm,B200 SXM,trtllm,1.3.0rc10,21064,21064,20995,20995,20995,69,0,0.811842986326605,0.9199373405940702,0.9954148321081656,92.61728983091211,0.20004763038818765,9.435579899976185,0.0,torch_flow:21064,torch_flow:20995
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b200_sxm,B200 SXM,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b300_sxm,B300 SXM,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.7609832773662316,0.8804472789694573,1.0007731822744377,89.26603874178069,0.053314377110360765,10.822818553403234,0.0,trtllm_mha:5627,trtllm_mha:5627
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b300_sxm,B300 SXM,trtllm,1.3.0rc10,21064,21064,21005,21005,21005,59,0,0.7792929278496722,0.9016683199201111,0.9940622934546792,92.26850749821472,0.09521542489883361,6.669840514163294,0.0,torch_flow:21064,torch_flow:21005
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b300_sxm,B300 SXM,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb200,GB200,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.8744580758142356,0.9830382346235984,1.0719526507426798,66.60742846987738,0.21325750844144306,25.199928914163856,0.0,trtllm_mha:5627,trtllm_mha:5627
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb200,GB200,trtllm,1.3.0rc10,21064,21064,20992,20992,20992,72,0,0.8102033771496465,0.9205741491106173,0.9965159013591669,91.66349085365853,0.16673018292682926,8.136432926829269,0.0,torch_flow:21064,torch_flow:20992
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb200,GB200,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb300,GB300,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.7783495373540107,0.8840292334327202,1.0015844018611388,89.17718144659676,0.08885729518393459,9.969788519637463,0.0,trtllm_mha:5627,trtllm_mha:5627
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb300,GB300,trtllm,1.3.0rc10,21064,21064,20993,20993,20993,71,0,0.79697553690481,0.9044551768092038,0.996134003331016,91.97827847377698,0.1333777925975325,9.06968989663221,0.0,torch_flow:21064,torch_flow:20993
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb300,GB300,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,11174,11174,11174,11174,11174,0,0,0.6366961406284243,0.7328753652008362,0.8068016373039796,99.7941650259531,0.0,1.7809199928405226,0.0,triton:11174,triton:11174
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,21064,21064,21046,21046,21046,18,0,0.6110979216252497,1.3814212310191172,2.112536531544903,26.89822294022617,0.004751496721467263,0.7222275016630239,0.0,torch_flow:21064,torch_flow:21046
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flash_attn:10092,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,a100_sxm,A100 SXM,sglang,0.5.10,0,0,0,0,0,0,0,,,,,,,,,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,a100_sxm,A100 SXM,trtllm,1.0.0,0,0,0,0,0,0,0,,,,,,,,,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,a100_sxm,A100 SXM,vllm,0.14.0,0,0,0,0,0,0,0,,,,,,,,,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,l40s,L40S,sglang,0.5.10,0,0,0,0,0,0,0,,,,,,,,,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,l40s,L40S,trtllm,1.0.0,9765,9765,9794,9794,9759,6,35,0.6215550267731551,0.9629629504870377,1.5176957822417663,50.63018751921303,0.14345732144686957,0.38938415821293165,0.0,torch_flow:9765,torch_flow:9794
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,l40s,L40S,vllm,0.14.0,5457,5049,0,0,0,5049,0,,,,,,,,vllm_flashinfer:5049,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,h100_sxm,H100 SXM,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.9732529578641594,1.0001511427380207,1.0288287204712314,49.40465612226764,0.23102896747822996,48.74711213790653,0.0,flash_attention:5627,flash_attention:5627
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,h100_sxm,H100 SXM,trtllm,1.3.0rc10,16847,16847,16881,16881,16847,0,34,0.9228070989257018,1.0054245144959604,1.0420326743623343,40.93310381670327,0.10684394847747374,28.54514156823173,0.0,torch_flow:16847,torch_flow:16881
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,h100_sxm,H100 SXM,vllm,0.19.0,21828,20196,0,0,0,20196,0,,,,,,,,vllm_flash_attn:20196,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,h200_sxm,H200 SXM,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.9815082137706547,0.9998429261878194,1.0183063320325156,50.84414430424737,0.2488004265150169,62.342278301048516,0.0,flash_attention:5627,flash_attention:5627
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,h200_sxm,H200 SXM,trtllm,1.3.0rc10,16845,16845,16881,16881,16845,0,36,0.9154941567649864,1.0061318037265286,1.041286912892665,38.26061145740576,0.14841199168892846,29.830810329474623,0.0,torch_flow:16845,torch_flow:16881
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,h200_sxm,H200 SXM,vllm,0.19.0,24978,18718,0,0,0,18718,0,,,,,,,,vllm_flash_attn:18718,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,b200_sxm,B200 SXM,sglang,0.5.10,11238,11238,11238,11238,11238,0,0,0.9583453816344466,1.0000307369967651,1.0477386868117908,49.537284214273,0.36483360028474815,57.86616835735896,0.0,trtllm_mha:11238,trtllm_mha:11238
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,b200_sxm,B200 SXM,trtllm,1.3.0rc10,21064,21064,20995,20995,20995,69,0,0.8126302174033064,0.9141982951940442,0.9870372230149215,95.1845677542272,0.13336508692545843,6.987377947130269,0.0,torch_flow:21064,torch_flow:20995
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,b200_sxm,B200 SXM,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,b300_sxm,B300 SXM,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.9608576440347023,1.0,1.0404617606639321,49.920028434334455,0.4265150168828861,61.82690598898169,0.0,trtllm_mha:5627,trtllm_mha:5627
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,b300_sxm,B300 SXM,trtllm,1.3.0rc10,21064,21064,21005,21005,21005,59,0,0.7758607694893732,0.8966911693704052,0.9831977176627988,94.43465841466318,0.09521542489883361,4.7798143299214475,0.0,torch_flow:21064,torch_flow:21005
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,b300_sxm,B300 SXM,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,gb200,GB200,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.9837482968513589,0.9999196554907291,1.0102493019936454,50.86191576328416,0.3909720988093122,76.34618802203661,0.0,trtllm_mha:5627,trtllm_mha:5627
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,gb200,GB200,trtllm,1.3.0rc10,21064,21064,20992,20992,20992,72,0,0.8113150085451527,0.9146136760406831,0.9892718682289201,93.63567073170732,0.0857469512195122,6.130907012195122,0.0,torch_flow:21064,torch_flow:20992
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,gb200,GB200,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,gb300,GB300,sglang,0.5.10,5627,5627,5627,5627,5627,0,0,0.9825891920781021,0.9998728218220697,1.012973051135399,51.466145370534925,0.2488004265150169,73.20063977252532,0.0,trtllm_mha:5627,trtllm_mha:5627
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,gb300,GB300,trtllm,1.3.0rc10,21064,21064,20993,20993,20993,71,0,0.7937482398654926,0.8997174988147996,0.9904672841293475,93.86462154051351,0.09526985185538037,7.188110322488448,0.0,torch_flow:21064,torch_flow:20993
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,gb300,GB300,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,11174,11174,11174,11174,11174,0,0,0.39810374573904667,0.5051676808618251,0.685934659778232,100.0,0.0,0.0,0.0,triton:11174,triton:11174
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,21064,21064,21046,21046,21046,18,0,0.6160770402828739,1.3954220137230868,2.129987711799735,26.052456523805002,0.0,0.5226646393613988,0.0,torch_flow:21064,torch_flow:21046
attention_prefill_fp8attn_vs_bf16attn_same_fp8kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,vllm,0.19.0,10908,10092,0,0,0,10092,0,,,,,,,,vllm_flashinfer:10092,
attention_decode_fp8kv_vs_bf16kv,attention,decode,a100_sxm,A100 SXM,sglang,0.5.10,5093,5093,0,0,0,5093,0,,,,,,,,flash_attention:5093,
attention_decode_fp8kv_vs_bf16kv,attention,decode,a100_sxm,A100 SXM,trtllm,1.0.0,5026,5026,0,0,0,5026,0,,,,,,,,torch_flow:5026,
attention_decode_fp8kv_vs_bf16kv,attention,decode,a100_sxm,A100 SXM,vllm,0.14.0,5431,5431,0,0,0,5431,0,,,,,,,,vllm_flash_attn:5431,
attention_decode_fp8kv_vs_bf16kv,attention,decode,l40s,L40S,sglang,0.5.10,5093,5093,0,0,0,5093,0,,,,,,,,flash_attention:5093,
attention_decode_fp8kv_vs_bf16kv,attention,decode,l40s,L40S,trtllm,1.0.0,10052,10052,10052,10052,10052,0,0,0.7181817911224695,1.7276097486714044,3.9796244097473124,17.23040191006765,0.8754476721050538,1.9399124552327895,0.0,torch_flow:10052,torch_flow:10052
attention_decode_fp8kv_vs_bf16kv,attention,decode,l40s,L40S,vllm,0.14.0,5432,5432,5435,5435,5432,0,3,0.4844459726853669,0.8461812808591971,1.2507304529504173,73.80338733431518,0.0,0.6443298969072164,100.0,vllm_flash_attn:5432,vllm_flashinfer:5435
attention_decode_fp8kv_vs_bf16kv,attention,decode,h100_sxm,H100 SXM,sglang,0.5.10,5093,5093,5093,5093,5093,0,0,0.6300069940207006,0.9789888613086428,1.027028838719726,74.67111721971334,0.21598272138228944,19.9096799528765,0.0,flash_attention:5093,flash_attention:5093
attention_decode_fp8kv_vs_bf16kv,attention,decode,h100_sxm,H100 SXM,trtllm,1.3.0rc10,15057,15057,9381,9381,9381,5676,0,0.2882984699380621,0.5387797459007804,0.7948424914148684,98.4223430337917,0.010659844366272252,0.3197953309881676,0.0,torch_flow:15057,torch_flow:9381
attention_decode_fp8kv_vs_bf16kv,attention,decode,h100_sxm,H100 SXM,vllm,0.19.0,22528,22528,22528,22528,22528,0,0,0.8400837446816934,0.97998399377964,1.1313847197363314,64.34215198863636,0.2752130681818182,13.236860795454545,0.0,vllm_flash_attn:22528,vllm_flash_attn:22528
attention_decode_fp8kv_vs_bf16kv,attention,decode,h200_sxm,H200 SXM,sglang,0.5.10,5093,5093,5093,5093,5093,0,0,0.7451897403757344,0.983778597607959,1.0394239105361833,72.58982917730218,0.23561751423522484,22.560376988022774,0.0,flash_attention:5093,flash_attention:5093
attention_decode_fp8kv_vs_bf16kv,attention,decode,h200_sxm,H200 SXM,trtllm,1.3.0rc10,15057,15057,9381,9381,9381,5676,0,0.28659218080560983,0.531719530039713,0.7821058815385162,98.61422023238461,0.0,0.30913548662189533,0.0,torch_flow:15057,torch_flow:9381
attention_decode_fp8kv_vs_bf16kv,attention,decode,h200_sxm,H200 SXM,vllm,0.19.0,27175,21740,27172,21738,21738,2,0,0.8831791273721907,0.9807535225553439,1.0759924313107103,63.86052074707885,0.3312172232956114,13.768515962830067,0.0,vllm_flash_attn:21740,vllm_flash_attn:21738
attention_decode_fp8kv_vs_bf16kv,attention,decode,b200_sxm,B200 SXM,sglang,0.5.10,9742,9742,9742,9742,9742,0,0,0.5739970189593433,0.8755388631856629,1.0019872315535439,84.77725313077397,0.390063641962636,29.46006980086225,0.0,trtllm_mha:9742,trtllm_mha:9742
attention_decode_fp8kv_vs_bf16kv,attention,decode,b200_sxm,B200 SXM,trtllm,1.3.0rc10,20120,20120,20120,20120,20120,0,0,0.7906678319219242,0.9056237548478758,1.2087274402616839,70.38767395626243,0.10437375745526839,6.163021868787276,0.0,torch_flow:20120,torch_flow:20120
attention_decode_fp8kv_vs_bf16kv,attention,decode,b200_sxm,B200 SXM,vllm,0.19.0,8454,8454,8454,8454,8454,0,0,0.5429309302223871,0.8333053734554923,0.998131484777597,90.64348237520701,0.33120416370948663,7.854270167967827,0.0,vllm_flashinfer:8454,vllm_flashinfer:8454
attention_decode_fp8kv_vs_bf16kv,attention,decode,b300_sxm,B300 SXM,sglang,0.5.10,5093,5093,5093,5093,5093,0,0,0.5660114555048283,0.8800153452926586,1.0015365354590553,85.84331435303358,0.5301394070292559,30.90516395052032,0.0,trtllm_mha:5093,trtllm_mha:5093
attention_decode_fp8kv_vs_bf16kv,attention,decode,b300_sxm,B300 SXM,trtllm,1.3.0rc10,20120,20120,20120,20120,20120,0,0,0.7687167833758125,0.9061581990449374,1.2031720310753187,70.93936381709742,0.08449304174950298,4.726640159045726,0.0,torch_flow:20120,torch_flow:20120
attention_decode_fp8kv_vs_bf16kv,attention,decode,b300_sxm,B300 SXM,vllm,0.19.0,8454,8454,8454,8454,8454,0,0,0.5411860219909707,0.8479753410600299,1.0136538501097445,86.74000473148806,0.17743080198722497,5.098178377099598,0.0,vllm_flashinfer:8454,vllm_flashinfer:8454
