hardware,hardware_label,engine,version,operator,phase,rows,dtype_combinations,kernel_sources,source_file
h100_sxm,H100 SXM,vllm,0.19.0,attention,prefill,43656,bfloat16/bfloat16:21828; bfloat16/fp8:21828,vllm_flash_attn:43656,src/aiconfigurator/systems/data/h100_sxm/vllm/0.19.0/context_attention_perf.txt
h100_sxm,H100 SXM,vllm,0.19.0,attention,decode,45056,bfloat16/bfloat16:22528; bfloat16/fp8:22528,vllm_flash_attn:45056,src/aiconfigurator/systems/data/h100_sxm/vllm/0.19.0/generation_attention_perf.txt
h100_sxm,H100 SXM,vllm,0.14.0,mla,prefill,3165,bfloat16/bfloat16:1650; bfloat16/fp8:1515,vllm_flash_attn_mla:1650; vllm_flashmla:1515,src/aiconfigurator/systems/data/h100_sxm/vllm/0.14.0/context_mla_perf.txt
h100_sxm,H100 SXM,vllm,0.14.0,mla,decode,5430,bfloat16/bfloat16:2715; bfloat16/fp8:2715,vllm_flash_attn_mla:2715; vllm_flashmla:2715,src/aiconfigurator/systems/data/h100_sxm/vllm/0.14.0/generation_mla_perf.txt
h200_sxm,H200 SXM,sglang,0.5.10,attention,prefill,16881,bfloat16/bfloat16:5627; bfloat16/fp8:5627; fp8/fp8:5627,flash_attention:16881,src/aiconfigurator/systems/data/h200_sxm/sglang/0.5.10/context_attention_perf.txt
h200_sxm,H200 SXM,sglang,0.5.10,attention,decode,10186,bfloat16/bfloat16:5093; bfloat16/fp8:5093,flash_attention:10186,src/aiconfigurator/systems/data/h200_sxm/sglang/0.5.10/generation_attention_perf.txt
h200_sxm,H200 SXM,sglang,0.5.10,mla,prefill,3080,bfloat16/bfloat16:1540; bfloat16/fp8:1540,flash_attention:3080,src/aiconfigurator/systems/data/h200_sxm/sglang/0.5.10/context_mla_perf.txt
h200_sxm,H200 SXM,sglang,0.5.10,mla,decode,4648,bfloat16/bfloat16:2324; bfloat16/fp8:2324,flash_attention:4648,src/aiconfigurator/systems/data/h200_sxm/sglang/0.5.10/generation_mla_perf.txt
h200_sxm,H200 SXM,trtllm,1.3.0rc10,attention,prefill,50574,bfloat16/bfloat16:16848; bfloat16/fp8:16845; fp8/fp8:16881,torch_flow:50574,src/aiconfigurator/systems/data/h200_sxm/trtllm/1.3.0rc10/context_attention_perf.txt
h200_sxm,H200 SXM,trtllm,1.3.0rc10,attention,decode,24438,bfloat16/bfloat16:15057; bfloat16/fp8:9381,torch_flow:24438,src/aiconfigurator/systems/data/h200_sxm/trtllm/1.3.0rc10/generation_attention_perf.txt
h200_sxm,H200 SXM,trtllm,1.3.0rc10,mla,prefill,1760,bfloat16/bfloat16:880; bfloat16/fp8:880,default:1760,src/aiconfigurator/systems/data/h200_sxm/trtllm/1.3.0rc10/context_mla_perf.txt
h200_sxm,H200 SXM,trtllm,1.3.0rc10,mla,decode,2896,bfloat16/bfloat16:1448; bfloat16/fp8:1448,default:2896,src/aiconfigurator/systems/data/h200_sxm/trtllm/1.3.0rc10/generation_mla_perf.txt
h200_sxm,H200 SXM,vllm,0.19.0,attention,prefill,49952,bfloat16/bfloat16:24974; bfloat16/fp8:24978,vllm_flash_attn:49952,src/aiconfigurator/systems/data/h200_sxm/vllm/0.19.0/context_attention_perf.txt
h200_sxm,H200 SXM,vllm,0.19.0,attention,decode,54347,bfloat16/bfloat16:27175; bfloat16/fp8:27172,vllm_flash_attn:54347,src/aiconfigurator/systems/data/h200_sxm/vllm/0.19.0/generation_attention_perf.txt
h200_sxm,H200 SXM,vllm,0.14.0,mla,prefill,3165,bfloat16/bfloat16:1650; bfloat16/fp8:1515,vllm_flash_attn_mla:1650; vllm_flashmla:1515,src/aiconfigurator/systems/data/h200_sxm/vllm/0.14.0/context_mla_perf.txt
h200_sxm,H200 SXM,vllm,0.14.0,mla,decode,5430,bfloat16/bfloat16:2715; bfloat16/fp8:2715,vllm_flash_attn_mla:2715; vllm_flashmla:2715,src/aiconfigurator/systems/data/h200_sxm/vllm/0.14.0/generation_mla_perf.txt
b200_sxm,B200 SXM,sglang,0.5.10,attention,prefill,33714,bfloat16/bfloat16:11238; bfloat16/fp8:11238; fp8/fp8:11238,trtllm_mha:33714,src/aiconfigurator/systems/data/b200_sxm/sglang/0.5.10/context_attention_perf.txt
