case_id,model_key,system,mode,bottleneck,prefill_capacity_seq_s,decode_capacity_seq_s,capacity_ratio_prefill_decode,expected_request_rate,request_rate,request_rate_relative_error,ttft,tpot,tokens/s/user,tokens/s/gpu,(p)bs,(p)global_bs,(p)workers,(p)seq/s/worker,(p)parallel,(d)bs,(d)global_bs,(d)workers,(d)seq/s/worker,(d)parallel,num_total_gpus
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,3.0111600000000003,1.5368827959988842,3.0111600000000003,3.011,5.3135668646023456e-05,2800.611,43.013,23.249,48.179,1,8,1,5.142,tp4pp1dp8etp1ep32,18,144,1,3.273,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,1.76456,2.6226368046425175,1.76456,1.765,0.00024935394659291604,2800.611,44.857,22.293,28.233,1,8,1,5.142,tp4pp1dp8etp1ep32,22,88,1,1.918,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,7.13368,0.648725482499916,4.627800000000001,4.628,4.321707938967411e-05,2800.611,48.409,20.657,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,12,384,1,7.754,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,5.44916,0.8492685111099694,4.627800000000001,4.628,4.321707938967411e-05,2800.611,47.527,21.041,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,18,288,1,5.923,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,3.47392,1.3321550294767872,3.47392,3.474,2.3028739867377488e-05,2800.611,49.711,20.116,55.583,1,8,1,5.142,tp4pp1dp8etp1ep32,24,192,1,3.776,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,1.90992,2.42303342548379,1.90992,1.91,4.188657116521004e-05,2800.611,48.959,20.425,30.559,1,8,1,5.142,tp4pp1dp8etp1ep32,26,104,1,2.076,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,8.01596,0.577323240135929,4.627800000000001,4.628,4.321707938967411e-05,2800.611,53.851,18.57,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,15,480,1,8.713,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,6.004840000000001,0.7706783194889456,4.627800000000001,4.628,4.321707938967411e-05,2800.611,52.719,18.968,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,22,352,1,6.527,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,3.71864,1.2444872318912292,3.71864,3.719,9.680958630028556e-05,2800.611,54.176,18.458,59.498,1,8,1,5.142,tp4pp1dp8etp1ep32,28,224,1,4.042,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.03412,2.275087015515309,2.03412,2.034,5.899356970107076e-05,2800.611,53.06,18.847,32.546,1,8,1,5.142,tp4pp1dp8etp1ep32,30,120,1,2.211,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,8.27172,0.5594725159942552,4.627800000000001,4.628,4.321707938967411e-05,2800.611,55.665,17.965,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,16,512,1,8.991,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,6.460240000000001,0.7163510953153444,4.627800000000001,4.628,4.321707938967411e-05,2800.611,57.912,17.268,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,26,416,1,7.022,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,3.9256400000000005,1.1788651022508432,3.9256400000000005,3.926,9.170479208477951e-05,2800.611,58.641,17.053,62.81,1,8,1,5.142,tp4pp1dp8etp1ep32,32,256,1,4.267,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.1868399999999997,2.1162042033253465,2.1868399999999997,2.187,7.316493204814254e-05,2800.611,59.212,16.888,34.989,1,8,1,5.142,tp4pp1dp8etp1ep32,36,144,1,2.377,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,6.8402,0.6765591649366978,4.627800000000001,4.628,4.321707938967411e-05,2800.611,63.105,15.847,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,30,480,1,7.435,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,4.104120000000001,1.1275986082278295,4.104120000000001,4.104,2.923891114314058e-05,2800.611,63.106,15.846,65.666,1,8,1,5.142,tp4pp1dp8etp1ep32,36,288,1,4.461,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.2724,2.0365252596373877,2.2724,2.272,0.00017602534765023763,2800.611,63.313,15.794,36.358,1,8,1,5.142,tp4pp1dp8etp1ep32,40,160,1,2.47,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,7.008560000000001,0.6603068247971052,4.627800000000001,4.628,4.321707938967411e-05,2800.611,65.701,15.22,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,32,512,1,7.618,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,4.25868,1.0866747442869622,4.25868,4.259,7.514065391161582e-05,2800.611,67.571,14.799,68.139,1,8,1,5.142,tp4pp1dp8etp1ep32,40,320,1,4.629,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.34784,1.9710883194766255,2.34784,2.348,6.814774430954235e-05,2800.611,67.415,14.834,37.565,1,8,1,5.142,tp4pp1dp8etp1ep32,44,176,1,2.552,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,7.306640000000001,0.6333690998872259,4.627800000000001,4.628,4.321707938967411e-05,2800.611,70.893,14.106,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,36,576,1,7.942,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,4.39484,1.0530076180247745,4.39484,4.395,3.6406331060805814e-05,2800.611,72.036,13.882,70.317,1,8,1,5.142,tp4pp1dp8etp1ep32,44,352,1,4.777,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.4140800000000002,1.9170035790031814,2.4140800000000002,2.414,3.3138918345738335e-05,2800.611,71.516,13.983,38.625,1,8,1,5.142,tp4pp1dp8etp1ep32,48,192,1,2.624,tp8pp1dp4etp1ep32,64
