case_id,model_key,model_path,system,mode,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,best_model,best_isl,best_osl,best_prefix,best_concurrency,best_request_rate,best_(p)bs,best_(p)global_bs,best_(p)workers,best_(d)bs,best_(d)global_bs,best_(d)workers,best_ttft,best_tpot,best_request_latency,best_seq/s,best_seq/s/gpu,best_tokens/s,best_tokens/s/gpu,best_tokens/s/user,best_(p)seq/s/worker,best_(d)seq/s/worker,best_num_total_gpus,best_(p)tp,best_(p)pp,best_(p)dp,best_(p)moe_tp,best_(p)moe_ep,best_(p)parallel,best_(p)gemm,best_(p)kvcache,best_(p)fmha,best_(p)moe,best_(p)comm,best_(p)memory,best_(p)backend,best_(p)version,best_(p)system,best_(d)tp,best_(d)pp,best_(d)dp,best_(d)moe_tp,best_(d)moe_ep,best_(d)parallel,best_(d)gemm,best_(d)kvcache,best_(d)fmha,best_(d)moe,best_(d)comm,best_(d)memory,best_(d)backend,best_(d)version,best_(d)system,best_power_w
deepseek_v3__h100_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,h100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,62,158.888,4.965,6.594659090042114,deepseek-ai/DeepSeek-V3,4096,1024,0,96,4.965,1,1,1,96,96,1,404.051,34.778,35981.945,4.965,0.155,5084.406,158.888,28.754,8.91,5.397,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,2,4,tp8pp2dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,79.256,sglang,0.5.10,h100_sxm,0.0
deepseek_v3__h200_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,h200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,90,735.494,11.492,6.719334363937378,deepseek-ai/DeepSeek-V3,4096,1024,0,544,11.492,1,8,1,68,544,1,1127.732,39.399,41432.909,11.492,0.718,11767.91,735.494,25.381,12.769,13.497,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,h200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,124.042,sglang,0.5.10,h200_sxm,0.0
deepseek_v3__h200_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,h200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,73,839.981,13.125,6.050281047821045,deepseek-ai/DeepSeek-V3,4096,1024,0,704,13.125,1,8,1,88,704,1,987.44,44.614,46627.562,13.125,0.82,13439.693,839.981,22.414,14.583,15.425,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,h200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,130.744,sglang,0.5.10,h200_sxm,0.0
deepseek_v3__h200_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,h200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,106,563.874,13.216,6.684251546859741,deepseek-ai/DeepSeek-V3,4096,1024,0,928,13.216,1,8,2,116,928,1,1679.771,63.149,66281.198,13.216,0.551,13532.979,563.874,15.835,8.573,14.365,24,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,137.045,sglang,0.5.10,h200_sxm,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,140.936,sglang,0.5.10,h200_sxm,0.0
deepseek_v3__rtx_pro_6000_server__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,rtx_pro_6000_server,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,48,29.499,0.922,5.481322526931763,deepseek-ai/DeepSeek-V3,4096,1024,0,54,0.922,1,1,1,18,18,3,1081.055,52.668,54960.419,0.922,0.029,943.964,29.499,18.987,1.665,0.334,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,95.423,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek_v3__rtx_pro_6000_server__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,rtx_pro_6000_server,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,51,19.43,0.607,5.380359411239624,deepseek-ai/DeepSeek-V3,4096,1024,0,54,0.607,1,1,1,18,18,3,1003.153,79.959,82801.21,0.607,0.019,621.773,19.43,12.506,1.794,0.22,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,95.423,sglang,0.5.10,rtx_pro_6000_server,0.0
llama31_70b__a100_sxm__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,a100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,34,150.682,3.532,4.11540961265564,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,288,3.532,1,1,3,96,96,3,1376.381,69.794,72775.643,3.532,0.147,3616.358,150.682,14.328,1.308,1.345,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,75.037,sglang,0.5.10,a100_sxm,0.0
llama31_70b__a100_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,a100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,27,171.606,5.363,2.3442771434783936,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,324,5.363,1,1,5,108,108,3,1377.401,54.331,56958.014,5.363,0.168,5491.384,171.606,18.406,1.307,1.943,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,a100_sxm,0.0
llama31_70b__a100_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,a100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,30,145.037,3.399,4.204700708389282,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,1.133,1,1,1,108,108,1,1430.12,83.323,86669.549,1.133,0.142,1160.294,145.037,12.002,1.259,1.267,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,a100_sxm,0.0
llama31_70b__b200_sxm__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,50,831.6,25.988,12.740276098251343,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,1152,25.988,1,1,7,128,128,9,436.41,39.752,41102.706,25.988,0.812,26611.2,831.6,25.156,4.125,3.148,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,170.342,sglang,0.5.10,b200_sxm,0.0
