case_id,model_key,model_path,system,mode,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,best_model,best_isl,best_osl,best_prefix,best_concurrency,best_request_rate,best_(p)bs,best_(p)global_bs,best_(p)workers,best_(d)bs,best_(d)global_bs,best_(d)workers,best_ttft,best_tpot,best_request_latency,best_seq/s,best_seq/s/gpu,best_tokens/s,best_tokens/s/gpu,best_tokens/s/user,best_(p)seq/s/worker,best_(d)seq/s/worker,best_num_total_gpus,best_(p)tp,best_(p)pp,best_(p)dp,best_(p)moe_tp,best_(p)moe_ep,best_(p)parallel,best_(p)gemm,best_(p)kvcache,best_(p)fmha,best_(p)moe,best_(p)comm,best_(p)memory,best_(p)backend,best_(p)version,best_(p)system,best_(d)tp,best_(d)pp,best_(d)dp,best_(d)moe_tp,best_(d)moe_ep,best_(d)parallel,best_(d)gemm,best_(d)kvcache,best_(d)fmha,best_(d)moe,best_(d)comm,best_(d)memory,best_(d)backend,best_(d)version,best_(d)system,best_power_w
llama31_70b__h200_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,38,477.36,14.918,7.898622512817383,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,792,14.918,1,1,5,264,264,3,543.031,47.38,49012.771,14.918,0.466,15275.52,477.36,21.106,3.315,5.447,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,140.662,sglang,0.5.10,h200_sxm,0.0
llama31_70b__rtx_pro_6000_server__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,53,121.306,3.704,10.619566917419434,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,0.948,1,1,1,72,72,1,1709.483,68.042,71316.449,0.948,0.118,970.445,121.306,14.697,1.053,1.034,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,65.662,sglang,0.5.10,rtx_pro_6000_server,0.0
llama31_70b__rtx_pro_6000_server__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,45,144.933,4.529,5.736881971359253,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,432,4.529,1,1,5,144,144,3,1665.837,85.763,89401.386,4.529,0.142,4637.86,144.933,11.66,1.081,1.641,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,93.787,sglang,0.5.10,rtx_pro_6000_server,0.0
llama31_70b__rtx_pro_6000_server__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,55,101.779,2.53,7.435601711273193,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,160,1.59,1,1,3,32,32,5,3054.908,89.306,94414.946,1.59,0.099,1628.467,101.779,11.197,0.589,0.35,16,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,95.342,sglang,0.5.10,rtx_pro_6000_server,0.0
qwen3_32b__a100_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,55,303.782,7.12,3.471296548843384,Qwen/Qwen3-32B,4096,1024,0,184,2.373,1,1,1,184,184,1,682.623,69.502,71783.169,2.373,0.297,2430.259,303.782,14.388,2.637,2.588,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,77.44,sglang,0.5.10,a100_sxm,0.0
qwen3_32b__a100_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,50,311.828,9.374,3.071315050125122,Qwen/Qwen3-32B,4096,1024,0,408,7.308,1,1,6,68,68,6,1209.285,50.205,52569.0,7.308,0.305,7483.884,311.828,19.918,1.488,1.324,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,77.647,sglang,0.5.10,a100_sxm,0.0
qwen3_32b__a100_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,52,276.265,7.006,3.80692982673645,Qwen/Qwen3-32B,4096,1024,0,192,2.158,1,1,1,192,192,1,693.551,80.007,82540.712,2.158,0.27,2210.12,276.265,12.499,2.595,2.346,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.94,sglang,0.5.10,a100_sxm,0.0
qwen3_32b__b200_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,67,1476.48,42.481,8.383314371109009,Qwen/Qwen3-32B,4096,1024,0,1344,34.605,1,1,5,192,192,7,234.072,34.829,35864.139,34.605,1.442,35435.52,1476.48,28.712,7.69,5.389,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,155.147,sglang,0.5.10,b200_sxm,0.0
qwen3_32b__b200_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,64,1933.546,60.423,6.90300178527832,Qwen/Qwen3-32B,4096,1024,0,2016,60.423,1,1,7,224,224,9,187.672,29.975,30852.097,60.423,1.888,61873.459,1933.546,33.361,9.591,7.305,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,175.147,sglang,0.5.10,b200_sxm,0.0
qwen3_32b__b200_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,59,1595.295,49.853,5.815717458724976,Qwen/Qwen3-32B,4096,1024,0,1672,49.853,1,1,13,88,88,19,410.252,30.165,31269.047,49.853,1.558,51049.431,1595.295,33.151,4.388,2.852,32,1,1,1,1,1,tp1pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,67.229,sglang,0.5.10,b200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,175.324,sglang,0.5.10,b200_sxm,0.0
qwen3_32b__b300_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,74,1542.845,48.214,6.792551755905151,Qwen/Qwen3-32B,4096,1024,0,3168,48.214,1,1,7,352,352,9,235.19,58.979,60570.707,48.214,1.507,49371.034,1542.845,16.955,7.653,5.834,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,255.147,sglang,0.5.10,b300_sxm,0.0
qwen3_32b__b300_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,72,1929.312,60.291,5.707029342651367,Qwen/Qwen3-32B,4096,1024,0,2736,60.291,1,1,7,304,304,9,188.096,39.732,40833.932,60.291,1.884,61737.984,1929.312,25.168,9.57,7.479,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,225.147,sglang,0.5.10,b300_sxm,0.0
qwen3_32b__b300_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,67,1827.694,52.372,5.67892050743103,Qwen/Qwen3-32B,4096,1024,0,1440,28.558,1,1,7,160,160,9,390.991,45.348,46781.995,28.558,1.785,29243.105,1827.694,22.052,4.604,3.449,16,1,1,1,1,1,tp1pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,67.229,sglang,0.5.10,b300_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,265.324,sglang,0.5.10,b300_sxm,0.0
qwen3_32b__h100_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,49,564.768,17.649,5.647104501724243,Qwen/Qwen3-32B,4096,1024,0,748,17.649,1,1,5,68,68,11,458.935,37.71,39036.265,17.649,0.552,18072.576,564.768,26.518,3.922,1.763,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,h100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,77.647,sglang,0.5.10,h100_sxm,0.0
qwen3_32b__h100_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,49,678.415,19.516,4.827671527862549,Qwen/Qwen3-32B,4096,1024,0,192,5.3,1,1,1,192,192,1,249.034,32.576,33574.282,5.3,0.663,5427.323,678.415,30.698,7.228,5.761,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.94,sglang,0.5.10,h100_sxm,0.0
qwen3_32b__h100_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,42,671.114,18.314,3.940849542617798,Qwen/Qwen3-32B,4096,1024,0,576,15.729,1,1,3,192,192,3,265.361,32.934,33956.843,15.729,0.655,16106.742,671.114,30.363,6.783,5.699,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.94,sglang,0.5.10,h100_sxm,0.0
qwen3_32b__h200_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,64,831.709,25.991,6.462005138397217,Qwen/Qwen3-32B,4096,1024,0,1512,25.991,1,1,7,168,168,9,433.944,52.317,53954.235,25.991,0.812,26614.702,831.709,19.114,4.148,3.139,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,140.147,sglang,0.5.10,h200_sxm,0.0
qwen3_32b__h200_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,62,975.053,27.859,5.3227927684783936,Qwen/Qwen3-32B,4096,1024,0,168,3.809,1,1,1,168,168,1,407.021,39.672,40991.477,3.809,0.952,3900.211,975.053,25.207,4.422,4.14,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,140.147,sglang,0.5.10,h200_sxm,0.0
qwen3_32b__h200_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,51,887.962,24.28,4.953383207321167,Qwen/Qwen3-32B,4096,1024,0,136,3.469,1,1,1,136,136,1,467.01,34.584,35846.442,3.469,0.867,3551.846,887.962,28.915,3.854,3.844,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,120.147,sglang,0.5.10,h200_sxm,0.0
qwen3_32b__rtx_pro_6000_server__analytical,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,75,293.458,7.145,6.806763648986816,Qwen/Qwen3-32B,4096,1024,0,672,6.878,1,1,5,96,96,7,1065.092,87.857,90942.803,6.878,0.287,7042.99,293.458,11.382,1.69,1.068,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,95.147,sglang,0.5.10,rtx_pro_6000_server,0.0
qwen3_32b__rtx_pro_6000_server__empirical,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,69,343.653,10.739,5.90255069732666,Qwen/Qwen3-32B,4096,1024,0,864,10.739,1,1,7,96,96,9,1012.309,72.373,75049.888,10.739,0.336,10996.9,343.653,13.817,1.778,1.297,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,95.147,sglang,0.5.10,rtx_pro_6000_server,0.0
qwen3_32b__rtx_pro_6000_server__silicon,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,74,236.275,7.384,4.618054389953613,Qwen/Qwen3-32B,4096,1024,0,576,7.384,1,1,7,64,64,9,1535.828,68.489,71600.075,7.384,0.231,7560.806,236.275,14.601,1.172,0.913,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,75.147,sglang,0.5.10,rtx_pro_6000_server,0.0
