case_id,model_key,model_path,system,mode,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,error_type,error
llama31_70b__b200_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,50.0,1008.261,29.063,7.257786750793457,,
llama31_70b__b200_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,44.0,843.034,19.759,9.775105953216553,,
llama31_70b__b300_sxm__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,62.0,881.551,25.868,6.586207866668701,,
llama31_70b__b300_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,57.0,1088.87,30.066,5.422438621520996,,
llama31_70b__b300_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,53.0,947.144,29.598,9.176609516143799,,
llama31_70b__h100_sxm__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,26.0,291.338,9.007,8.09866738319397,,
llama31_70b__h100_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,28.0,371.297,9.636,4.3601579666137695,,
llama31_70b__h100_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,24.0,357.99,8.39,6.394083499908447,,
llama31_70b__h200_sxm__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,47.0,421.747,13.18,9.38567590713501,,
llama31_70b__h200_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,43.0,501.481,15.671,5.025668144226074,,
llama31_70b__h200_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,38.0,477.36,14.918,7.898622512817383,,
llama31_70b__rtx_pro_6000_server__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,53.0,121.306,3.704,10.619566917419434,,
llama31_70b__rtx_pro_6000_server__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,45.0,144.933,4.529,5.736881971359253,,
llama31_70b__rtx_pro_6000_server__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,55.0,101.779,2.53,7.435601711273193,,
qwen3_32b__a100_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,55.0,303.782,7.12,3.471296548843384,,
qwen3_32b__a100_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,50.0,311.828,9.374,3.071315050125122,,
qwen3_32b__a100_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,52.0,276.265,7.006,3.80692982673645,,
qwen3_32b__b200_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,67.0,1476.48,42.481,8.383314371109009,,
qwen3_32b__b200_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,64.0,1933.546,60.423,6.90300178527832,,
qwen3_32b__b200_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,59.0,1595.295,49.853,5.815717458724976,,
qwen3_32b__b300_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,74.0,1542.845,48.214,6.792551755905151,,
qwen3_32b__b300_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,72.0,1929.312,60.291,5.707029342651367,,
qwen3_32b__b300_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,67.0,1827.694,52.372,5.67892050743103,,
qwen3_32b__h100_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,49.0,564.768,17.649,5.647104501724243,,
qwen3_32b__h100_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,49.0,678.415,19.516,4.827671527862549,,
qwen3_32b__h100_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,42.0,671.114,18.314,3.940849542617798,,
qwen3_32b__h200_sxm__analytical,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,64.0,831.709,25.991,6.462005138397217,,
qwen3_32b__h200_sxm__empirical,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,62.0,975.053,27.859,5.3227927684783936,,
qwen3_32b__h200_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,51.0,887.962,24.28,4.953383207321167,,
qwen3_32b__rtx_pro_6000_server__analytical,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,75.0,293.458,7.145,6.806763648986816,,
qwen3_32b__rtx_pro_6000_server__empirical,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,69.0,343.653,10.739,5.90255069732666,,
qwen3_32b__rtx_pro_6000_server__silicon,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,74.0,236.275,7.384,4.618054389953613,,
