case_id,model_key,system,mode,bottleneck,prefill_capacity_seq_s,decode_capacity_seq_s,capacity_ratio_prefill_decode,expected_request_rate,request_rate,request_rate_relative_error,ttft,tpot,tokens/s/user,tokens/s/gpu,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(p)seq/s/worker,(p)parallel,(d)bs,(d)global_bs,(d)workers,(d)seq/s/worker,(d)parallel,num_total_gpus
llama31_70b__b200_sxm__empirical,llama31_70b,b200_sxm,EMPIRICAL,decode,10.6425,4.08204,2.607152306199841,4.08204,4.082,9.799022057662846e-06,152.224,3.965,252.201,130.625,130.625,1,1,1,11.825,tp8pp1dp1etp1ep1,6,6,3,1.479,tp8pp1dp1etp1ep1,32
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,prefill,25.9875,26.065440000000002,0.9970098337108446,25.9875,25.988,1.92400192399744e-05,436.41,39.752,25.156,831.6,831.6,1,1,7,4.125,tp2pp1dp1etp1ep1,128,128,9,3.148,tp2pp1dp1etp1ep1,32
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,decode,6.1974,6.14928,1.007825306377332,6.14928,6.149,4.5533786069272824e-05,261.41,29.249,34.189,787.108,787.108,1,1,1,6.886,tp4pp1dp1etp1ep1,200,200,1,6.684,tp4pp1dp1etp1ep1,8
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,decode,6.1974,4.911880000000001,1.2617164914452306,4.911880000000001,4.912,2.4430564264397697e-05,261.41,19.772,50.577,628.721,628.721,1,1,1,6.886,tp4pp1dp1etp1ep1,108,108,1,5.339,tp4pp1dp1etp1ep1,8
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,prefill,9.315,9.396880000000001,0.9912864695515957,9.315,9.315,0.0,173.911,13.781,72.563,596.16,596.16,1,1,1,10.35,tp8pp1dp1etp1ep1,144,144,1,10.214,tp8pp1dp1etp1ep1,16
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,decode,9.315,8.942400000000001,1.0416666666666665,8.942400000000001,8.942,4.4730721059317866e-05,173.911,12.872,77.687,572.314,572.314,1,1,1,10.35,tp8pp1dp1etp1ep1,128,128,1,9.72,tp8pp1dp1etp1ep1,16
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,decode,9.315,8.419839999999999,1.1063155594405596,8.419839999999999,8.42,1.9002736394165236e-05,173.911,11.963,83.59,538.87,538.87,1,1,1,10.35,tp8pp1dp1etp1ep1,112,112,1,9.152,tp8pp1dp1etp1ep1,16
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,decode,9.315,7.64152,1.2189983144714664,7.64152,7.642,6.281472795994514e-05,173.911,10.827,92.362,489.057,489.057,1,1,1,10.35,tp8pp1dp1etp1ep1,92,92,1,8.306,tp8pp1dp1etp1ep1,16
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,decode,9.315,6.89172,1.3516219463356025,6.89172,6.892,4.0628464302098455e-05,173.911,9.918,100.826,441.07,441.07,1,1,1,10.35,tp8pp1dp1etp1ep1,76,76,1,7.491,tp8pp1dp1etp1ep1,16
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,prefill,9.315,11.46872,0.8122092090486123,9.315,9.315,0.0,173.911,8.782,113.871,397.44,298.08,1,1,1,10.35,tp8pp1dp1etp1ep1,56,56,2,6.233,tp8pp1dp1etp1ep1,24
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,decode,9.315,9.298440000000001,1.001780943900267,9.298440000000001,9.298,4.731976546615412e-05,173.911,6.964,143.596,297.55,297.55,1,1,1,10.35,tp8pp1dp1etp1ep1,24,24,3,3.369,tp8pp1dp1etp1ep1,32
llama31_70b__b200_sxm__analytical,llama31_70b,b200_sxm,ANALYTICAL,decode,9.315,2.7048,3.443877551020408,2.7048,2.705,7.394262052646331e-05,173.911,5.983,167.144,86.554,86.554,1,1,1,10.35,tp8pp1dp1etp1ep1,6,6,3,0.98,tp8pp1dp1etp1ep1,32
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,33.0642,29.598239999999997,1.1171002059581923,29.598239999999997,29.598,8.108590240433876e-06,440.928,52.749,18.958,947.144,947.144,1,1,9,4.082,tp2pp1dp1etp1ep1,248,248,7,4.596,tp2pp1dp1etp1ep1,32
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,prefill,3.6738,3.7379599999999997,0.9828355573628397,3.6738,3.674,5.443954488539876e-05,440.928,44.274,22.587,940.493,940.493,1,1,1,4.082,tp2pp1dp1etp1ep1,184,184,1,4.063,tp2pp1dp1etp1ep1,4
