scope,model_key,system,mode,bottleneck,points
returned,qwen3_32b,h100_sxm,SILICON,prefill,12
returned,qwen3_32b,h200_sxm,ANALYTICAL,decode,41
returned,qwen3_32b,h200_sxm,ANALYTICAL,prefill,23
returned,qwen3_32b,h200_sxm,EMPIRICAL,decode,26
returned,qwen3_32b,h200_sxm,EMPIRICAL,prefill,36
returned,qwen3_32b,h200_sxm,SILICON,decode,22
returned,qwen3_32b,h200_sxm,SILICON,prefill,29
returned,qwen3_32b,rtx_pro_6000_server,ANALYTICAL,decode,49
returned,qwen3_32b,rtx_pro_6000_server,ANALYTICAL,prefill,26
returned,qwen3_32b,rtx_pro_6000_server,EMPIRICAL,decode,47
returned,qwen3_32b,rtx_pro_6000_server,EMPIRICAL,prefill,22
returned,qwen3_32b,rtx_pro_6000_server,SILICON,decode,29
returned,qwen3_32b,rtx_pro_6000_server,SILICON,prefill,45
frontier,deepseek_v3,a100_sxm,ANALYTICAL,decode,6
frontier,deepseek_v3,a100_sxm,ANALYTICAL,prefill,1
frontier,deepseek_v3,a100_sxm,EMPIRICAL,decode,8
frontier,deepseek_v3,a100_sxm,EMPIRICAL,prefill,1
frontier,deepseek_v3,b200_sxm,ANALYTICAL,decode,18
frontier,deepseek_v3,b200_sxm,ANALYTICAL,prefill,3
frontier,deepseek_v3,b200_sxm,EMPIRICAL,decode,19
frontier,deepseek_v3,b200_sxm,EMPIRICAL,prefill,1
frontier,deepseek_v3,b200_sxm,SILICON,decode,15
frontier,deepseek_v3,b200_sxm,SILICON,prefill,2
frontier,deepseek_v3,b300_sxm,ANALYTICAL,decode,21
frontier,deepseek_v3,b300_sxm,ANALYTICAL,prefill,3
frontier,deepseek_v3,b300_sxm,EMPIRICAL,decode,21
frontier,deepseek_v3,b300_sxm,EMPIRICAL,prefill,2
frontier,deepseek_v3,b300_sxm,SILICON,decode,25
frontier,deepseek_v3,b300_sxm,SILICON,prefill,3
frontier,deepseek_v3,h100_sxm,ANALYTICAL,decode,11
frontier,deepseek_v3,h100_sxm,ANALYTICAL,prefill,1
frontier,deepseek_v3,h100_sxm,EMPIRICAL,decode,13
frontier,deepseek_v3,h100_sxm,EMPIRICAL,prefill,1
frontier,deepseek_v3,h100_sxm,SILICON,decode,21
frontier,deepseek_v3,h200_sxm,ANALYTICAL,decode,17
frontier,deepseek_v3,h200_sxm,ANALYTICAL,prefill,2
frontier,deepseek_v3,h200_sxm,EMPIRICAL,decode,15
frontier,deepseek_v3,h200_sxm,EMPIRICAL,prefill,2
frontier,deepseek_v3,h200_sxm,SILICON,decode,24
frontier,deepseek_v3,h200_sxm,SILICON,prefill,2
frontier,deepseek_v3,rtx_pro_6000_server,ANALYTICAL,decode,12
frontier,deepseek_v3,rtx_pro_6000_server,EMPIRICAL,decode,12
frontier,llama31_70b,a100_sxm,ANALYTICAL,decode,7
frontier,llama31_70b,a100_sxm,ANALYTICAL,prefill,3
frontier,llama31_70b,a100_sxm,EMPIRICAL,decode,7
frontier,llama31_70b,a100_sxm,EMPIRICAL,prefill,3
frontier,llama31_70b,a100_sxm,SILICON,decode,6
frontier,llama31_70b,a100_sxm,SILICON,prefill,3
frontier,llama31_70b,b200_sxm,ANALYTICAL,decode,8
frontier,llama31_70b,b200_sxm,ANALYTICAL,prefill,3
frontier,llama31_70b,b200_sxm,EMPIRICAL,decode,9
frontier,llama31_70b,b200_sxm,EMPIRICAL,prefill,3
frontier,llama31_70b,b200_sxm,SILICON,decode,9
frontier,llama31_70b,b200_sxm,SILICON,prefill,4
frontier,llama31_70b,b300_sxm,ANALYTICAL,decode,12
frontier,llama31_70b,b300_sxm,ANALYTICAL,prefill,3
frontier,llama31_70b,b300_sxm,EMPIRICAL,decode,6
frontier,llama31_70b,b300_sxm,EMPIRICAL,prefill,5
frontier,llama31_70b,b300_sxm,SILICON,decode,10
frontier,llama31_70b,b300_sxm,SILICON,prefill,5
frontier,llama31_70b,h100_sxm,ANALYTICAL,decode,7
frontier,llama31_70b,h100_sxm,ANALYTICAL,prefill,2
frontier,llama31_70b,h100_sxm,EMPIRICAL,decode,9
frontier,llama31_70b,h100_sxm,EMPIRICAL,prefill,2
frontier,llama31_70b,h100_sxm,SILICON,decode,7
frontier,llama31_70b,h100_sxm,SILICON,prefill,2
frontier,llama31_70b,h200_sxm,ANALYTICAL,decode,9
frontier,llama31_70b,h200_sxm,ANALYTICAL,prefill,4
frontier,llama31_70b,h200_sxm,EMPIRICAL,decode,12
frontier,llama31_70b,h200_sxm,EMPIRICAL,prefill,1
frontier,llama31_70b,h200_sxm,SILICON,decode,11
frontier,llama31_70b,h200_sxm,SILICON,prefill,5
frontier,llama31_70b,rtx_pro_6000_server,ANALYTICAL,decode,7
frontier,llama31_70b,rtx_pro_6000_server,ANALYTICAL,prefill,4
frontier,llama31_70b,rtx_pro_6000_server,EMPIRICAL,decode,9
frontier,llama31_70b,rtx_pro_6000_server,EMPIRICAL,prefill,4
frontier,llama31_70b,rtx_pro_6000_server,SILICON,decode,6
frontier,llama31_70b,rtx_pro_6000_server,SILICON,prefill,4
frontier,qwen3_32b,a100_sxm,ANALYTICAL,decode,13
frontier,qwen3_32b,a100_sxm,ANALYTICAL,prefill,4
frontier,qwen3_32b,a100_sxm,EMPIRICAL,decode,6
frontier,qwen3_32b,a100_sxm,EMPIRICAL,prefill,3
frontier,qwen3_32b,a100_sxm,SILICON,decode,13
frontier,qwen3_32b,a100_sxm,SILICON,prefill,3
frontier,qwen3_32b,b200_sxm,ANALYTICAL,decode,17
frontier,qwen3_32b,b200_sxm,ANALYTICAL,prefill,5
frontier,qwen3_32b,b200_sxm,EMPIRICAL,decode,16
frontier,qwen3_32b,b200_sxm,EMPIRICAL,prefill,4
frontier,qwen3_32b,b200_sxm,SILICON,decode,13
frontier,qwen3_32b,b200_sxm,SILICON,prefill,6
frontier,qwen3_32b,b300_sxm,ANALYTICAL,decode,12
frontier,qwen3_32b,b300_sxm,ANALYTICAL,prefill,6
frontier,qwen3_32b,b300_sxm,EMPIRICAL,decode,16
frontier,qwen3_32b,b300_sxm,EMPIRICAL,prefill,4
frontier,qwen3_32b,b300_sxm,SILICON,decode,14
frontier,qwen3_32b,b300_sxm,SILICON,prefill,5
frontier,qwen3_32b,h100_sxm,ANALYTICAL,decode,12
frontier,qwen3_32b,h100_sxm,ANALYTICAL,prefill,3
frontier,qwen3_32b,h100_sxm,EMPIRICAL,decode,15
frontier,qwen3_32b,h100_sxm,EMPIRICAL,prefill,2
frontier,qwen3_32b,h100_sxm,SILICON,decode,14
frontier,qwen3_32b,h100_sxm,SILICON,prefill,5
frontier,qwen3_32b,h200_sxm,ANALYTICAL,decode,18
frontier,qwen3_32b,h200_sxm,ANALYTICAL,prefill,5
frontier,qwen3_32b,h200_sxm,EMPIRICAL,decode,11
frontier,qwen3_32b,h200_sxm,EMPIRICAL,prefill,3
frontier,qwen3_32b,h200_sxm,SILICON,decode,9
frontier,qwen3_32b,h200_sxm,SILICON,prefill,7
frontier,qwen3_32b,rtx_pro_6000_server,ANALYTICAL,decode,18
frontier,qwen3_32b,rtx_pro_6000_server,ANALYTICAL,prefill,5
frontier,qwen3_32b,rtx_pro_6000_server,EMPIRICAL,decode,10
frontier,qwen3_32b,rtx_pro_6000_server,EMPIRICAL,prefill,3
frontier,qwen3_32b,rtx_pro_6000_server,SILICON,decode,8
frontier,qwen3_32b,rtx_pro_6000_server,SILICON,prefill,8
