model_key,system,mode,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
llama31_70b,b300_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,80,6.318,1,1,1,16,16,5,256.403,10.626,11126.801,6.318,0.263,6469.632,269.568,94.112,7.02,1.472,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.787,sglang,0.5.10,b300_sxm,0.0,202.176
llama31_70b,b300_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,42,3.8,1,1,1,6,6,7,256.403,9.947,10432.184,3.8,0.119,3890.79,121.587,100.536,7.02,0.59,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.881,sglang,0.5.10,b300_sxm,0.0,121.587
llama31_70b,b300_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,33,3.381,1,1,1,11,11,3,197.739,8.776,9175.587,3.381,0.106,3462.144,108.192,113.941,9.103,1.225,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.259,sglang,0.5.10,b300_sxm,0.0,108.192
llama31_70b,b300_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,27,3.077,1,1,1,9,9,3,197.739,7.892,8271.255,3.077,0.096,3151.258,98.477,126.705,9.103,1.115,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.868,sglang,0.5.10,b300_sxm,0.0,98.477
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,192,4.253,1,1,1,192,192,1,380.849,39.892,41190.365,4.253,1.063,4355.482,1088.87,25.068,4.726,4.705,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,220.342,sglang,0.5.10,b300_sxm,0.0,1088.87
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,152,3.989,1,1,1,152,152,1,380.849,34.266,35434.967,3.989,0.997,4084.859,1021.215,29.183,4.726,4.336,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,189.092,sglang,0.5.10,b300_sxm,0.0,1021.215
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,1080,29.774,1,1,7,120,120,9,380.849,29.765,30830.444,29.774,0.93,30488.371,952.762,33.596,4.726,3.941,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,164.092,sglang,0.5.10,b300_sxm,0.0,952.762
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,144,7.081,1,1,1,144,144,1,228.767,17.728,18364.511,7.081,0.885,7251.149,906.394,56.407,7.868,7.94,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,93.787,sglang,0.5.10,b300_sxm,0.0,906.394
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,92,5.997,1,1,1,92,92,1,228.767,13.794,14340.029,5.997,0.75,6141.42,767.677,72.493,7.868,6.519,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,73.475,sglang,0.5.10,b300_sxm,0.0,767.677
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,260,21.244,1,1,3,52,52,5,228.767,10.768,11244.431,21.244,0.664,21753.446,679.795,92.866,7.868,4.72,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,57.85,sglang,0.5.10,b300_sxm,0.0,679.795
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,96,10.607,1,1,1,96,96,1,152.726,7.951,8286.599,10.607,0.663,10861.978,678.874,125.778,11.786,11.803,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.861,sglang,0.5.10,b300_sxm,0.0,678.874
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,9.364,1,1,1,72,72,1,152.726,6.915,7226.771,9.364,0.585,9588.49,599.281,144.618,11.786,10.178,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.173,sglang,0.5.10,b300_sxm,0.0,599.281
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,7.343,1,1,1,48,48,1,152.726,5.879,6166.943,7.343,0.459,7518.74,469.921,170.096,11.786,7.981,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,30.486,sglang,0.5.10,b300_sxm,0.0,469.921
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,52,9.487,1,1,1,26,26,2,152.726,4.93,5196.116,9.487,0.395,9714.729,404.78,202.857,11.786,5.156,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.189,sglang,0.5.10,b300_sxm,0.0,303.585
llama31_70b,b300_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,12,2.71,1,1,1,4,4,3,152.726,3.98,4224.266,2.71,0.085,2775.368,86.73,251.247,11.786,0.982,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.892,sglang,0.5.10,b300_sxm,0.0,86.73
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,248,3.444,1,1,1,248,248,1,438.419,64.769,66697.106,3.444,0.861,3526.205,881.551,15.44,4.106,3.743,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,264.092,sglang,0.5.10,b300_sxm,0.0,881.551
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,224,3.36,1,1,1,224,224,1,438.419,59.965,61782.614,3.36,0.84,3440.476,860.119,16.676,4.106,3.652,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,245.342,sglang,0.5.10,b300_sxm,0.0,860.119
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,1296,25.868,1,1,7,144,144,9,438.419,43.954,45403.361,25.868,0.808,26488.627,827.77,22.751,4.106,3.203,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,182.842,sglang,0.5.10,b300_sxm,0.0,827.77
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,1116,25.122,1,1,7,124,124,9,438.419,39.951,41308.292,25.122,0.785,25724.436,803.889,25.031,4.106,3.034,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,167.217,sglang,0.5.10,b300_sxm,0.0,803.889
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,200,6.01,1,1,1,200,200,1,262.741,29.927,30878.062,6.01,0.751,6154.609,769.326,33.414,6.851,6.533,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,115.662,sglang,0.5.10,b300_sxm,0.0,769.326
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,152,5.497,1,1,1,152,152,1,262.741,24.867,25701.682,5.497,0.687,5628.928,703.616,40.213,6.851,5.975,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,96.912,sglang,0.5.10,b300_sxm,0.0,703.616
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,160,9.263,1,1,1,160,160,1,174.901,14.988,15507.625,9.263,0.579,9485.107,592.819,66.72,10.292,10.435,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,52.361,sglang,0.5.10,b300_sxm,0.0,592.819
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,136,8.997,1,1,1,136,136,1,174.901,13.595,14082.586,8.997,0.562,9212.6,575.788,73.558,10.292,9.779,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,47.673,sglang,0.5.10,b300_sxm,0.0,575.788
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,124,8.646,1,1,1,124,124,1,174.901,12.898,13369.555,8.646,0.54,8853.668,553.354,77.532,10.292,9.398,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,45.329,sglang,0.5.10,b300_sxm,0.0,553.354
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,8.114,1,1,1,108,108,1,174.901,11.969,12419.188,8.114,0.507,8309.146,519.322,83.549,10.292,8.82,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,42.204,sglang,0.5.10,b300_sxm,0.0,519.322
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,88,7.322,1,1,1,88,88,1,174.901,10.808,11231.485,7.322,0.458,7498.015,468.626,92.525,10.292,7.959,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.298,sglang,0.5.10,b300_sxm,0.0,468.626
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,6.554,1,1,1,72,72,1,174.901,9.879,10281.118,6.554,0.41,6711.378,419.461,101.225,10.292,7.124,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.173,sglang,0.5.10,b300_sxm,0.0,419.461
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,112,9.263,1,1,1,56,56,2,174.901,8.95,9330.751,9.263,0.386,9485.107,395.213,111.731,10.292,6.116,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.048,sglang,0.5.10,b300_sxm,0.0,296.40975000000003
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,66,8.509,1,1,1,22,22,3,174.901,6.976,7311.349,8.509,0.266,8713.298,272.291,143.347,10.292,3.083,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.408,sglang,0.5.10,b300_sxm,0.0,272.291
llama31_70b,b300_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,12,1.808,1,1,1,4,4,3,174.901,5.97,6282.211,1.808,0.056,1851.187,57.85,167.509,10.292,0.655,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.892,sglang,0.5.10,b300_sxm,0.0,57.85
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,160,1.59,1,1,3,32,32,5,3054.908,89.306,94414.946,1.59,0.099,1628.467,101.779,11.197,0.589,0.35,16,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,95.342,sglang,0.5.10,rtx_pro_6000_server,0.0,101.779
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,220,2.53,1,1,5,20,20,11,3054.908,78.197,83050.439,2.53,0.079,2590.72,80.96,12.788,0.589,0.25,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,85.967,sglang,0.5.10,rtx_pro_6000_server,0.0,80.96
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,176,2.247,1,1,5,16,16,11,3054.908,70.403,75077.177,2.247,0.07,2300.559,71.892,14.204,0.589,0.222,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,82.842,sglang,0.5.10,rtx_pro_6000_server,0.0,71.892
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,42,0.53,1,1,1,14,14,3,3054.908,68.943,73583.597,0.53,0.066,542.822,67.853,14.505,0.589,0.199,8,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,81.28,sglang,0.5.10,rtx_pro_6000_server,0.0,67.853
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,117,1.59,1,1,3,9,9,13,3054.908,64.511,69049.661,1.59,0.05,1628.467,50.89,15.501,0.589,0.136,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,77.373,sglang,0.5.10,rtx_pro_6000_server,0.0,50.89
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,22,0.396,1,1,1,22,22,1,3561.653,49.975,54686.078,0.396,0.049,405.094,50.637,20.01,0.505,0.43,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.131,sglang,0.5.10,rtx_pro_6000_server,0.0,50.637
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,0.446,1,1,1,28,28,1,3635.318,39.692,44240.234,0.446,0.028,456.192,28.512,25.194,0.495,0.69,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.579,sglang,0.5.10,rtx_pro_6000_server,0.0,28.512
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,16,0.423,1,1,1,16,16,1,3635.318,34.003,38420.387,0.423,0.026,433.357,27.085,29.409,0.495,0.46,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.236,sglang,0.5.10,rtx_pro_6000_server,0.0,27.085
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,10,0.303,1,1,1,10,10,1,3635.318,29.715,34033.763,0.303,0.019,309.944,19.372,33.653,0.495,0.329,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.064,sglang,0.5.10,rtx_pro_6000_server,0.0,19.372
llama31_70b,rtx_pro_6000_server,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,3,0.108,1,1,1,1,1,3,3635.318,24.762,28966.844,0.108,0.003,110.223,3.444,40.385,0.495,0.039,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.306,sglang,0.5.10,rtx_pro_6000_server,0.0,3.444
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,432,4.529,1,1,5,144,144,3,1665.837,85.763,89401.386,4.529,0.142,4637.86,144.933,11.66,1.081,1.641,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,93.787,sglang,0.5.10,rtx_pro_6000_server,0.0,144.933
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,408,4.449,1,1,5,136,136,3,1665.837,82.496,86059.245,4.449,0.139,4555.899,142.372,12.122,1.081,1.612,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,90.662,sglang,0.5.10,rtx_pro_6000_server,0.0,142.372
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,384,4.358,1,1,5,128,128,3,1665.837,79.229,82717.104,4.358,0.136,4462.633,139.457,12.622,1.081,1.579,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,87.537,sglang,0.5.10,rtx_pro_6000_server,0.0,139.457
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,348,4.212,1,1,5,116,116,3,1665.837,74.329,77704.404,4.212,0.132,4312.842,134.776,13.454,1.081,1.526,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,82.85,sglang,0.5.10,rtx_pro_6000_server,0.0,134.776
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,312,4.041,1,1,5,104,104,3,1665.837,69.429,72691.704,4.041,0.126,4137.615,129.3,14.403,1.081,1.464,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,78.162,sglang,0.5.10,rtx_pro_6000_server,0.0,129.3
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,56,0.973,1,1,1,56,56,1,1665.837,49.828,52639.881,0.973,0.122,996.25,124.531,20.069,1.081,1.099,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,59.412,sglang,0.5.10,rtx_pro_6000_server,0.0,124.531
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,0.88,1,1,1,44,44,1,1665.837,44.928,47627.181,0.88,0.11,901.571,112.696,22.258,1.081,0.957,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,54.725,sglang,0.5.10,rtx_pro_6000_server,0.0,112.696
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,150,2.919,1,1,3,30,30,5,1665.837,39.211,41778.69,2.919,0.091,2988.749,93.398,25.503,1.081,0.748,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.256,sglang,0.5.10,rtx_pro_6000_server,0.0,93.398
llama31_70b,rtx_pro_6000_server,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,36,1.157,1,1,1,36,36,1,1399.21,23.999,25950.187,1.157,0.072,1185.178,74.074,41.669,1.286,1.466,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.142,sglang,0.5.10,rtx_pro_6000_server,0.0,74.074
