tag,mapping,alignment_class,step,op_name,op_category,latency_ms,step_latency_ms,step_count,weighted_latency_ms,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_ttft,aic_tpot,aic_request_latency,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,aic_isl,aic_prefix,pct_of_weighted_total,pct_of_step
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_add_norm_1,context_other,0.281440047761194,36.52646770265534,2.0,0.562880095522388,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.003146839054648059,0.007705098945024306
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_add_norm_2,context_other,0.281440047761194,36.52646770265534,2.0,0.562880095522388,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.003146839054648059,0.007705098945024306
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_attention (scaled),attention_scaled,0.0,36.52646770265534,2.0,0.0,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0,0.0
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_embedding,context_other,0.013976668656716418,36.52646770265534,2.0,0.027953337313432837,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0001562760066760303,0.0003826449568158042
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_logits_gemm,context_other,0.6363647375022955,36.52646770265534,2.0,1.272729475004591,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.007115325004038749,0.017422016896970142
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_mla_block,context_mla_block,6.7002321339735715,36.52646770265534,2.0,13.400464267947143,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.07491667345184111,0.1834349871582707
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_moe,context_moe,27.28848916769028,36.52646770265534,2.0,54.57697833538056,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.3051182095026232,0.7470880948531059
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_moe_post_dispatch,context_other,0.0,36.52646770265534,2.0,0.0,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0,0.0
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_moe_pre_dispatch,context_other,0.0,36.52646770265534,2.0,0.0,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0,0.0
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_p2p,context_other,0.0,36.52646770265534,2.0,0.0,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0,0.0
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_router_gemm,context_other,0.12976796486798456,36.52646770265534,2.0,0.2595359297359691,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0014509623031163977,0.0035527104872106457
agg_aic_p0_small_b8_isl512_ctx2048,intended_case,strict_prefix0,mix_step,context_shared_act_gate,context_shared_ffn,0.07445143880597015,36.52646770265534,2.0,0.1489028776119403,36.52646770265535,7.55847510900146,71.22661202017792,9.489674615245052,213.5717312488537,4,512,4,512,0,3,1,1536,512,512,0,0.0008324568488851401,0.0020382873978410402
