tag,mapping,alignment_class,step,op_category,latency_ms,step_latency_ms,step_count,weighted_latency_ms,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_ttft,aic_tpot,aic_request_latency,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,aic_isl,aic_prefix,pct_of_step,pct_of_weighted_total
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_mla_block,1.6360629888431348,8.869891315420237,7.0,11.452440921901944,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.1844513005473756,0.012612053442657652
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_moe,6.537636678814889,8.869891315420237,7.0,45.76345675170422,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.737059389605965,0.05039721804366165
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,genonly_step,generation_other,0.6961916477622135,8.869891315420237,7.0,4.873341534335496,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.07848930984665954,0.005366789865540313
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,attention_scaled,0.0,93.99621972131752,9.0,0.0,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_mla_block,39.283260664287425,93.99621972131752,9.0,353.5493459785868,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.4179238354558883,0.389347849642352
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_moe,47.7147733426094,93.99621972131752,9.0,429.4329600834846,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.5076243862154821,0.47291503003991225
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_other,3.1686429595486785,93.99621972131752,9.0,28.51778663593811,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.03371032334005724,0.031405344203166465
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_shared_ffn,3.8295427548720085,93.99621972131752,9.0,34.465884793848076,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.04074145498857229,0.03795571476270964
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_mla_block,0.8694145548450253,3.5221263464154835,14.0,12.171803767830355,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.24684365901008645,0.051339075952414874
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_moe,1.9438155078887938,3.5221263464154835,14.0,27.213417110443114,93.88838444023584,3.522126346415483,183.0823496584599,9.546543552670174,326.2805029485125,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.5518869332632095,0.11478263325689675
