tag,aic_single_op_total_ms,aic_corrected_o_proj_total_ms,aic_combined_diagnostic_total_ms,real_single_op_mapped_total_ms,total_delta_ms,corrected_total_delta_ms,batch_size,kv_len,real_mla_makespan_mean_ms,real_mla_kernel_sum_mean_ms,aic_deepseek_fallback_total_ms,aic_wideep_dedup_total_ms,op_abs_delta_sum_ms,op_corrected_abs_delta_sum_ms,aic_vs_real_kernel_sum_gap_pct,aic_vs_real_makespan_gap_pct,aic_corrected_o_proj_gap_pct_vs_real_kernel_sum,aic_corrected_o_proj_gap_pct_vs_real_makespan,aic_combined_diagnostic_gap_pct_vs_real_kernel_sum,aic_combined_diagnostic_gap_pct_vs_real_makespan,largest_abs_delta_op,largest_abs_delta_op_label,largest_abs_delta_ms,largest_abs_delta_gap_pct
decode_b1p512_cg_on,0.10690609866670575,0.1326029872327229,0.13260076535899434,0.1175673999999999,-0.010661301333294149,0.015035587232722998,1,512,0.1287738,0.1248826,0.1069060986667057,0.1326502875401515,0.033732521056562825,0.015035587232722998,-14.394720588211845,-16.981483293413913,6.182116029553281,2.9735763274228986,6.18033685957399,2.9718509192043334,generation_proj_gemm,o_proj GEMM,-0.022196911194928486,-47.11739636960566
decode_b4p512_cg_on,0.10931038394780355,0.1343814965938005,0.13437141846700304,0.1210556,-0.01174521605219645,0.01332589659380049,4,512,0.1321916,0.1284668,0.1093103839478035,0.1307273969639114,0.03650713939760723,0.01332589659380049,-14.911569411082425,-17.309130120368042,4.604066259765563,1.656607979478655,4.5962213326735375,1.6489841011100914,generation_proj_gemm,o_proj GEMM,-0.024126177724901842,-49.426329631204034
decode_b32p512_cg_on,0.16020548758862557,0.1913183803487964,0.1912437366023123,0.1391103999999999,0.021095087588625668,0.05220798034879649,32,512,0.150848,0.1468864,0.1602054875886255,0.1499556379214172,0.07656466263377373,0.05274457620006638,9.067611152990047,6.203255985247111,30.249213234714983,26.828582645309435,30.198395904802833,26.779099890162477,generation_attention,attention,0.03520104390937164,95.62175088385465
decode_b4p2048_cg_on,0.12468363242812214,0.14975474507411907,0.14974421929402942,0.1278841999999999,-0.0032005675718777687,0.02187054507411917,4,2048,0.1391802,0.135257,0.1246836324281221,0.1380231489170364,0.04867338787792591,0.023602275231928968,-7.817242413980682,-10.415682382894884,10.718665262514383,7.597736656592721,10.71088320310922,7.590173957236317,generation_proj_gemm,o_proj GEMM,-0.025936977724901836,-51.23535794833561
decode_b16p2048_cg_on,0.18665924873587908,0.21029658158591147,0.21026096283390316,0.1423097999999998,0.04434944873587929,0.06798678158591166,16,2048,0.1536382,0.149689,0.186659248735879,0.1529997425875445,0.09771153865918691,0.07407420580915453,24.698039759687816,21.49273340606638,40.48900158723185,36.877795747354156,40.46520641724054,36.854612221376684,generation_attention,attention,0.06357521518450353,148.39737258644408
decode_b4p4096_cg_on,0.14623911755485916,0.17131023020085612,0.17130101691766375,0.1327227999999997,0.013516317554859474,0.038587430200856414,4,4096,0.1444028,0.1407804,0.1462391175548591,0.1429233442295364,0.06518627300466294,0.040115160358666004,3.8774698430031176,1.2716633990886346,21.686136849203525,18.63359311651583,21.679592413193703,18.62721285021049,generation_attention,attention,0.0342892110020035,108.1269267217571
decode_b8p4096_cg_on,0.1836574783947436,0.2078503662705125,0.20783263072510544,0.1413557999999997,0.04230167839474392,0.0664945662705128,8,4096,0.1524666,0.1487862,0.1836574783947436,0.1510895048733511,0.09697669957703729,0.07278381170126842,23.437172529941357,20.457515544219916,39.697341736338785,36.325179593768404,39.685421581507846,36.313547180238444,generation_attention,attention,0.061968340912686305,145.7344793743541
decode_b4p8192_cg_on,0.18397664601658928,0.2090477586625862,0.20903862487359637,0.1433149999999997,0.04066164601658959,0.06573275866258653,4,8192,0.154611,0.1506877999999999,0.1839766460165892,0.1535227704990676,0.09421320146639325,0.06914208882039632,22.091268182685926,18.99324499329885,38.72905348846181,35.20885232136537,38.72299208933737,35.202944728121786,generation_attention,attention,0.06245213946373361,151.26491274101951
decode_b2p16384_cg_on,0.18346769318477527,0.20775569351675988,0.20775121392720797,0.1424439999999999,0.041023693184775376,0.06531169351676,2,16384,0.1533692,0.1495864,0.1834676931847752,0.1537543401669846,0.09462604708496423,0.07033804675297961,22.649982341158857,19.624861565930612,38.886752750758,35.46115746627084,38.883758100474346,35.45823667803441,generation_attention,attention,0.06370248038148306,154.7995226953097
