framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,8,1,0.004038399830460548
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,8,1,0.007814399898052216
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,128,0.006252799928188324
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,4,0.004262400045990944
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,64,0.005062400177121162
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,128,0.011667200177907944
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,32,0.004476799815893173
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,32,0.008873599767684936
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,16,0.004358400031924248
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,16,0.008531200140714646
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,8,0.004147199913859367
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,8,0.00835840031504631
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,4,0.004086399823427201
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,4,0.00806720033288002
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,2,0.00398080013692379
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,2,0.007718399912118912
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,16,1,0.004044799879193306
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,1,0.007651200145483017
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,128,0.006496000289916992
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,128,0.015324799716472626
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,64,0.005369599908590317
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,64,0.01167680025100708
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,32,0.004649600014090538
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,32,0.009600000083446502
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,16,0.0044064000248909
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,16,0.009385599941015243
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,8,0.004054399952292442
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,8,0.008131200075149536
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,4,0.004016000032424927
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,4,0.00806720033288002
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,2,0.004070400074124336
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,2,0.00788159966468811
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,32,1,0.0039680000394582745
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,32,1,0.008064000308513642
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,48,128,0.007353600114583969
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,48,128,0.019180800020694732
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,48,64,0.005750399827957153
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,48,64,0.013683199882507324
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,48,32,0.004886399954557419
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,48,32,0.01019200012087822
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,48,16,0.004476799815893173
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,32,0.007833600044250488
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,48,16,0.008928000181913375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,48,8,0.00838399976491928
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,48,4,0.004080000147223472
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,8,0.007398399710655213
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,48,4,0.008220800012350083
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,48,2,0.00411520004272461
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,48,2,0.007913599908351897
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,48,1,0.0040640000253915785
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,48,1,0.00783040001988411
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,128,0.007859200239181519
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,4,0.00729919970035553
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,64,128,0.02271360009908676
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,2,0.007731200009584427
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,64,64,0.015408000349998474
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,32,0.005955199897289276
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,64,32,0.011427199840545655
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,16,0.006332799792289734
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,64,16,0.009443199634552002
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,8,0.0058975998312234875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,4,0.006275200098752975
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,48,8,0.00605119988322258
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,64,4,0.008316799998283386
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,2,0.005939200147986412
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,64,2,0.008287999778985977
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,1,0.0058432001620531086
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,64,1,0.0081216000020504
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,128,0.008697599917650223
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,64,0.006431999802589417
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,128,0.02640959918498993
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,32,0.006611199676990509
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,64,0.01709440052509308
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,64,0.008294399827718735
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,32,0.012755200266838074
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,16,0.00928959995508194
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,8,0.004412800073623657
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,4,0.004316800087690353
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,8,0.008105599880218506
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,16,0.007782399654388428
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,4,0.00857279971241951
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,1,0.0050976000726222995
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,2,0.00793280005455017
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,80,1,0.008073599636554718
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,96,128,0.02963840067386627
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,64,0.0067391999065876005
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,96,64,0.018665599822998046
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,32,0.005257600173354149
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,96,32,0.013020800054073333
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,16,0.004704000055789947
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,16,64,0.009958399832248688
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,96,16,0.010361599922180175
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,64,64,0.005980800092220307
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,8,0.004428799822926521
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,96,8,0.009116800129413604
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,4,0.00432640016078949
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,2,0.004335999861359597
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,1,0.004163200035691261
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,96,2,0.008163200318813324
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,96,1,0.00825600028038025
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,128,0.011228799819946289
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,128,128,0.037190398573875426
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,64,0.007737600058317184
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,64,8,0.008630400151014328
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,128,64,0.022364799678325654
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,32,0.005715199932456017
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,16,0.004729599878191948
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,128,32,0.014860799908638
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,8,0.004371200129389763
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,128,16,0.010819199681282043
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,128,8,0.009043200314044953
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,4,0.004265600070357323
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,128,4,0.008371199667453765
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,2,0.004134399816393852
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,128,2,0.008191999793052674
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,128,1,0.004239999875426293
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,128,1,0.007993599772453308
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,96,128,0.00910080000758171
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,128,0.015296000242233276
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,160,128,0.046697598695755
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,64,0.008326400071382523
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,32,0.006086400151252747
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,160,64,0.026159998774528504
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,16,0.004816000163555145
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,160,32,0.017110399901866913
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,160,16,0.012303999811410903
