tag,aic_model,op_name,op_order,latency_ms,source,batch_size,kv_len,s,tp_size,num_heads,x_tokens,gemm_quant_mode,bmm_quant_mode,kvcache_quant_mode
decode_b8p4096_cg_on,DeepSeekModel_fallback,generation_attention,4,0.1044897409126861,silicon,8,4096,4097,1,128,8,fp8_block,fp8,fp8
decode_b8p4096_cg_on,DeepSeekModel_fallback,generation_bmm_post,5,0.010147199779748917,silicon,8,4096,4097,1,128,8,fp8_block,fp8,fp8
decode_b8p4096_cg_on,DeepSeekModel_fallback,generation_proj_gemm,6,0.02404088940885332,silicon,8,4096,4097,1,128,8,fp8_block,fp8,fp8
decode_b4p8192_cg_on,DeepSeekModel_fallback,generation_downscale_gemm,1,0.016420756338911404,silicon,4,8192,8193,1,128,4,fp8_block,fp8,fp8
decode_b4p8192_cg_on,DeepSeekModel_fallback,generation_q_b_proj_gemm,2,0.01981892840924606,silicon,4,8192,8193,1,128,4,fp8_block,fp8,fp8
decode_b4p8192_cg_on,DeepSeekModel_fallback,generation_bmm_pre,3,0.009644799679517747,silicon,4,8192,8193,1,128,4,fp8_block,fp8,fp8
decode_b4p8192_cg_on,DeepSeekModel_fallback,generation_attention,4,0.1037387394637335,silicon,4,8192,8193,1,128,4,fp8_block,fp8,fp8
decode_b4p8192_cg_on,DeepSeekModel_fallback,generation_bmm_post,5,0.009667199850082398,silicon,4,8192,8193,1,128,4,fp8_block,fp8,fp8
decode_b4p8192_cg_on,DeepSeekModel_fallback,generation_proj_gemm,6,0.024686222275098164,silicon,4,8192,8193,1,128,4,fp8_block,fp8,fp8
decode_b2p16384_cg_on,DeepSeekModel_fallback,generation_downscale_gemm,1,0.01695322932714086,silicon,2,16384,16385,1,128,2,fp8_block,fp8,fp8
decode_b2p16384_cg_on,DeepSeekModel_fallback,generation_q_b_proj_gemm,2,0.0188813598619567,silicon,2,16384,16385,1,128,2,fp8_block,fp8,fp8
decode_b2p16384_cg_on,DeepSeekModel_fallback,generation_bmm_pre,3,0.009440000355243682,silicon,2,16384,16385,1,128,2,fp8_block,fp8,fp8
decode_b2p16384_cg_on,DeepSeekModel_fallback,generation_attention,4,0.10485408038148306,silicon,2,16384,16385,1,128,2,fp8_block,fp8,fp8
decode_b2p16384_cg_on,DeepSeekModel_fallback,generation_bmm_post,5,0.00942080020904541,silicon,2,16384,16385,1,128,2,fp8_block,fp8,fp8
decode_b2p16384_cg_on,DeepSeekModel_fallback,generation_proj_gemm,6,0.023918223049905565,silicon,2,16384,16385,1,128,2,fp8_block,fp8,fp8
