tag,layer_sample_count,batch_size,kv_len,prefix_len,total_seq_len,tp_size,real_mla_makespan_mean_ms,real_mla_makespan_median_ms,real_mla_kernel_sum_mean_ms,real_attention_kernel_sum_mean_ms,real_bmm_kernel_sum_mean_ms,real_gemm_kernel_sum_mean_ms,aic_query_s,real_component_norm_sum_ms,real_component_quant_sum_ms,real_component_gemm_sum_ms,real_component_bmm_sum_ms,real_component_support_sum_ms,real_component_attention_support_sum_ms,real_component_attention_sum_ms,real_component_other_sum_ms,real_semantic_qkv_downscale_quant_sum_ms,real_semantic_qkv_downscale_gemm_sum_ms,real_semantic_q_a_layernorm_sum_ms,real_semantic_kv_a_layernorm_sum_ms,real_semantic_q_b_proj_quant_sum_ms,real_semantic_q_b_proj_gemm_sum_ms,real_semantic_q_w_kc_bmm_sum_ms,real_semantic_rotary_emb_sum_ms,real_semantic_set_mla_kv_buffer_sum_ms,real_semantic_fa3_prepare_sum_ms,real_semantic_fa3_attention_sum_ms,real_semantic_fa3_combine_sum_ms,real_semantic_s_w_vc_bmm_sum_ms,real_semantic_o_proj_quant_sum_ms,real_semantic_o_proj_gemm_sum_ms,real_semantic_other_sum_ms,aic_deepseek_fallback_total_ms,aic_deepseek_fallback_gap_pct_vs_real_makespan,aic_deepseek_fallback_gap_pct_vs_real_kernel_sum,aic_wideep_dedup_total_ms,aic_wideep_dedup_gap_pct_vs_real_makespan,aic_wideep_dedup_gap_pct_vs_real_kernel_sum,aic_wideep_sdk_current_total_ms,aic_wideep_sdk_current_gap_pct_vs_real_makespan,aic_wideep_sdk_current_gap_pct_vs_real_kernel_sum,real_makespan_gap_pct_vs_kernel_sum,best_aic_model_vs_makespan,best_aic_total_ms_vs_makespan,best_aic_gap_pct_vs_real_makespan
decode_b1p512_cg_on,5,1,512,512,513,1,0.1287738,0.129119,0.1248826,0.0206976,0.0160832,0.076313,513,0.0041919999999999995,0.0044735999999999995,0.076313,0.0160832,0.001856,0.0012672,0.0206976,0.0,0.001408,0.0138624,0.002176,0.002016,0.001376,0.0170304,0.0081408,0.001856,0.0012672,0.003136,0.0148416,0.00272,0.007942399999999999,0.0016896,0.0454202,0.0,0.10690609866670575,-16.981483293413913,-14.394720588211845,0.13265028754015154,3.0103076403364244,6.219991848465313,0.15249784070530306,18.423033804471924,22.112961057267437,3.115886440544958,WideEP module,0.13265028754015154,3.0103076403364244
decode_b4p512_cg_on,5,4,512,512,513,1,0.13219160000000002,0.133023,0.1284668,0.0215616,0.016473599999999998,0.0780092,513,0.004128,0.0050112,0.0780092,0.016473599999999998,0.0019327999999999997,0.0013504,0.0215616,0.0,0.0016896,0.0135296,0.0022592000000000003,0.0018687999999999999,0.001504,0.0174848,0.0082112,0.0019327999999999997,0.0013504,0.0031808,0.014835200000000002,0.0035456000000000003,0.0082624,0.0018176000000000002,0.0469948,0.0,0.10931038394780355,-17.309130120368057,-14.911569411082425,0.1307273969639114,-1.107636972461661,1.7596740666938064,0.1471481533028228,11.314299322213193,14.54177523128373,2.899426155240131,WideEP module,0.1307273969639114,-1.107636972461661
decode_b32p512_cg_on,5,32,512,512,513,1,0.150848,0.150016,0.1468864,0.0368128,0.018540800000000003,0.07797760000000001,513,0.0040447999999999994,0.0057792,0.07797760000000001,0.018540800000000003,0.0022464,0.0014848,0.0368128,0.0,0.0019584,0.010073599999999999,0.002112,0.0019327999999999997,0.0016320000000000002,0.0180672,0.008684800000000001,0.0022464,0.0014848,0.0036224,0.0239104,0.00928,0.009856,0.0021888000000000003,0.0498368,0.0,0.16020548758862557,6.203255985247111,9.067611152990047,0.1499556379214172,-0.5915637453481747,2.0895317207155975,0.16349486959283438,8.38384969826207,11.307016573919967,2.6970502374624266,WideEP module,0.1499556379214172,-0.5915637453481747
decode_b4p2048_cg_on,5,4,2048,2048,2049,1,0.1391802,0.137952,0.13525700000000002,0.0267074,0.0170176,0.0789816,2049,0.0041664,0.0051776,0.0789816,0.0170176,0.0018432000000000001,0.0013632,0.0267074,0.0,0.0017536,0.013408,0.0021184000000000003,0.002048,0.0015936,0.016780800000000002,0.0083008,0.0018432000000000001,0.0013632,0.0031551999999999995,0.0194242,0.004128,0.0087168,0.0018304,0.0487928,0.0,0.12468363242812214,-10.415682382894884,-7.8172424139807015,0.1380231489170364,-0.8313331084188703,2.045105922086389,0.1544439052559478,10.96686544202969,14.185517389819227,2.9005522819521263,WideEP module,0.1380231489170364,-0.8313331084188703
decode_b16p2048_cg_on,5,16,2048,2048,2049,1,0.1536382,0.154144,0.14968900000000002,0.0428412,0.017824,0.07628779999999999,2049,0.0040192,0.0053568,0.07628779999999999,0.017824,0.0019456,0.0014144000000000001,0.0428412,0.0,0.0017472000000000002,0.009728,0.0020864,0.0019327999999999997,0.0016063999999999998,0.017542400000000003,0.008512,0.0019456,0.0014144000000000001,0.0033599999999999997,0.032530800000000006,0.0069504,0.009312,0.0020032,0.0490174,0.0,0.18665924873587908,21.49273340606638,24.69803975968779,0.15299974258754453,-0.415559029235872,2.2117474146694267,0.16579245392508907,7.910958293633397,10.757940747208579,2.63827001316061,WideEP module,0.15299974258754453,-0.415559029235872
decode_b4p4096_cg_on,5,4,4096,4096,4097,1,0.1444028,0.144191,0.1407804,0.031712000000000004,0.0167424,0.0791356,4097,0.0041535999999999995,0.0051328,0.0791356,0.0167424,0.0020736,0.0013824,0.031712000000000004,0.00044799999999999994,0.0017343999999999999,0.013472000000000001,0.0021184,0.0020352,0.0015872,0.016953600000000003,0.00816,0.0020736,0.0013824,0.0033535999999999996,0.0239936,0.0043648,0.0085824,0.0018112,0.048709999999999996,0.00044799999999999994,0.14623911755485916,1.2716633990886346,3.8774698430031176,0.14292334422953643,-1.0245339913516722,1.522189331424279,0.15934410056844783,10.346960424900233,13.18628201684882,2.5730854579188565,WideEP module,0.14292334422953643,-1.0245339913516722
decode_b8p4096_cg_on,5,8,4096,4096,4097,1,0.1524666,0.152352,0.1487862,0.0425214,0.0169728,0.0766904,4097,0.004006399999999999,0.0051712,0.0766904,0.0169728,0.0019648,0.0014592000000000001,0.0425214,0.0,0.0017408,0.009747200000000001,0.0021376,0.0018687999999999999,0.0015872,0.017408,0.00816,0.0019648,0.0014592000000000001,0.0034687999999999997,0.033202999999999996,0.0058496,0.008812799999999999,0.0018432000000000001,0.0495352,0.0,0.1836574783947436,20.457515544219916,23.437172529941357,0.15108950487335118,-0.9032110158217113,1.5480635121746338,0.16407539646545236,7.6139931404336085,10.27595063618289,2.4736165047564898,WideEP module,0.15108950487335118,-0.9032110158217113
decode_b4p8192_cg_on,5,4,8192,8192,8193,1,0.154611,0.154879,0.15068779999999998,0.0412866,0.0169344,0.08005720000000001,8193,0.0040768,0.005036799999999999,0.08005720000000001,0.0169344,0.0018943999999999999,0.0014016,0.04128660000000001,0.0,0.0017343999999999999,0.0136064,0.0020736,0.0020032,0.0015296,0.016761599999999998,0.0082496,0.0018943999999999999,0.0014016,0.0031744,0.032928200000000005,0.005183999999999999,0.0086848,0.0017728000000000002,0.0496892,0.0,0.18397664601658928,18.99324499329885,22.09126818268586,0.15352277049906768,-0.7038499854035738,1.8813536988845125,0.1699435268379791,9.916840870299712,12.778557280668446,2.6035286201006427,WideEP module,0.15352277049906768,-0.7038499854035738
decode_b2p16384_cg_on,5,2,16384,16384,16385,1,0.1533692,0.152608,0.1495864,0.041151599999999997,0.016761599999999998,0.0798652,16385,0.003936,0.004665600000000001,0.0798652,0.016761599999999998,0.0019584,0.001248,0.041151599999999997,0.0,0.0015807999999999998,0.014355200000000002,0.0020544,0.0018816,0.0013696,0.0165058,0.0080512,0.0019584,0.001248,0.0031808,0.0328252,0.0051456,0.0087104,0.0017152,0.0490042,0.0,0.18346769318477527,19.624861565930612,22.649982341158857,0.1537543401669846,0.2511196296157239,2.786309562222636,0.17070756949412547,11.304987894652546,14.119712416453273,2.5288395201702847,WideEP module,0.1537543401669846,0.2511196296157239
