source_name,tag,num_layers,tp_size,n,k,batch_size,fresh_len,prefix_len,fresh_tokens,prefix_tokens,total_tokens,real_kernel_sum_mean_ms,real_kernel_sum_std_ms,real_gemm_only_mean_ms,real_quant_only_mean_ms,real_gpu_makespan_mean_ms,aic_old_fresh_only_ms,aic_old_query_m_tokens,aic_old_route,aic_direct_total_tokens_ms,aic_direct_query_m_tokens,aic_direct_route,aic_sglang_chunk_policy_ms,aic_sglang_query_m_tokens,aic_sglang_query_routes,aic_sglang_policy,aic_old_fresh_only_ms_vs_kernel_sum_error_pct,aic_old_fresh_only_ms_vs_gemm_only_error_pct,aic_direct_total_tokens_ms_vs_kernel_sum_error_pct,aic_direct_total_tokens_ms_vs_gemm_only_error_pct,aic_sglang_chunk_policy_ms_vs_kernel_sum_error_pct,aic_sglang_chunk_policy_ms_vs_gemm_only_error_pct
mla_aic_compare_kernel_envelope_refresh,req1_equal_prefix_regular_b4_f512_p512,4,1,32768,512,4,512,512,2048,2048,4096,0.147288,0.0011716927925015186,0.143512,0.003776,0.25659175,0.07440256371217616,[2048],interp_3d_no_same_nk,0.14118546091653164,[4096],interp_3d_no_same_nk,0.14118546091653164,[4096],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-49.48497928400402,-48.15585894407704,-4.143269705249824,-1.621146025049027,-4.143269705249824,-1.621146025049027
mla_aic_compare_kernel_envelope_refresh,req1_equal_prefix_regular_b4_f2048_p1024,4,1,32768,512,4,2048,1024,8192,4096,12288,0.416792,0.02772620767432864,0.409152,0.007640000000000001,0.41876800000000003,0.3102047981000414,[8192],interp_3d_no_same_nk,0.4536201591585197,[12288],interp_3d_no_same_nk,0.4536201591585197,[12288],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-25.57323602659326,-24.183482397729595,8.836100299074772,10.868371450834825,8.836100299074772,10.868371450834825
mla_aic_compare_kernel_envelope_refresh,req1_equal_prefix_regular_b1_f8192_p1024,4,1,32768,512,1,8192,1024,8192,1024,9216,0.323328,0.005501860049110666,0.31703200000000004,0.0062959999999999995,0.32457600000000003,0.3102047981000414,[8192],interp_3d_no_same_nk,0.346058638364661,[9216],interp_3d_no_same_nk,0.346058638364661,[9216],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-4.0587891862005705,-2.1534740656964004,7.0302103018176565,9.155744014692825,7.0302103018176565,9.155744014692825
mla_aic_compare_kernel_envelope_refresh,req1_large_prefix_regular_b8_f256_p4096,4,1,32768,512,8,256,4096,2048,32768,34816,1.302342,0.012248005225341849,1.277822,0.02452,1.304246,0.07440256371217616,[2048],interp_3d_no_same_nk,1.3228845876805921,[34816],interp_3d_no_same_nk,1.3228845876805921,[34816],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-94.28701802505209,-94.17739217886559,1.5773573823613174,3.526515248649039,1.5773573823613174,3.526515248649039
mla_aic_compare_kernel_envelope_refresh,req1_large_prefix_regular_b8_f512_p4096,4,1,32768,512,8,512,4096,4096,32768,36864,1.3600777499999999,0.03549196562868133,1.3346297500000002,0.025448,1.36173375,0.14118546091653164,[4096],interp_3d_no_same_nk,1.4035344840654358,[36864],interp_3d_no_same_nk,1.4035344840654358,[36864],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-89.61930956399135,-89.42137615945308,3.1951654282584903,5.162835165740582,3.1951654282584903,5.162835165740582
mla_aic_compare_kernel_envelope_refresh,req1_equal_prefix_regular_b2_f4096_p4096,4,1,32768,512,2,4096,4096,8192,8192,16384,0.5620317499999999,0.030981812861540232,0.55173575,0.010296,0.56407175,0.3102047981000414,[8192],interp_3d_no_same_nk,0.597035520216998,[16384],interp_3d_no_same_nk,0.597035520216998,[16384],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-44.806534844331935,-43.77656367200395,6.2280770111293675,8.210410548346387,6.2280770111293675,8.210410548346387
mla_aic_compare_kernel_envelope_refresh,req1_equal_prefix_regular_b1_f8192_p4096,4,1,32768,512,1,8192,4096,8192,4096,12288,0.41251974999999996,0.010203969628899337,0.40491975,0.0076,0.41382375,0.3102047981000414,[8192],interp_3d_no_same_nk,0.4536201591585197,[12288],interp_3d_no_same_nk,0.4536201591585197,[12288],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-24.802437192391043,-23.391042768340785,9.963258524839055,12.027175547381844,9.963258524839055,12.027175547381844
mla_aic_compare_kernel_envelope_refresh,req1_large_prefix_regular_b4_f512_p8192,4,1,32768,512,4,512,8192,2048,32768,34816,1.3006937500000002,0.02794641208075734,1.27653375,0.024159999999999997,1.30247775,0.07440256371217616,[2048],interp_3d_no_same_nk,1.3228845876805921,[34816],interp_3d_no_same_nk,1.3228845876805921,[34816],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-94.27977848650568,-94.17151613013161,1.7060770593071528,3.630991948359541,1.7060770593071528,3.630991948359541
mla_aic_compare_kernel_envelope_refresh,req1_large_prefix_regular_b4_f1024_p8192,4,1,32768,512,4,1024,8192,4096,32768,36864,1.36378175,0.03835360682109961,1.33819775,0.025584,1.36526975,0.14118546091653164,[4096],interp_3d_no_same_nk,1.4035344840654358,[36864],interp_3d_no_same_nk,1.4035344840654358,[36864],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-89.64750328147947,-89.44958165439064,2.914889722306064,4.882442379344595,2.914889722306064,4.882442379344595
mla_aic_compare_kernel_envelope_refresh,req1_equal_prefix_regular_b1_f8192_p8192,4,1,32768,512,1,8192,8192,8192,8192,16384,0.566552,0.015379527170885334,0.556352,0.0102,0.567784,0.3102047981000414,[8192],interp_3d_no_same_nk,0.597035520216998,[16384],interp_3d_no_same_nk,0.597035520216998,[16384],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-45.246897354516186,-44.24306947758947,5.3805335109571715,7.31255036685373,5.3805335109571715,7.31255036685373
