framework,version,device,op_name,kernel_source,batch_size,seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,40,128,1,1,none,0.6356575965881348
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,20,128,1,2,ulysses,0.32352960109710693
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,40,128,1,2,ring,0.32946879863739015
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,1,4,ulysses,0.1667423963546753
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,40,128,1,4,ring,0.16382399797439576
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,1,8,ulysses,0.08858879804611205
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,40,128,1,8,ring,0.08360000252723694
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,20,128,2,1,none,0.3235680103302002
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,2,2,ulysses,0.1663040041923523
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,20,128,2,2,ring,0.16846079826354982
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,2,4,ulysses,0.08851839900016785
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,20,128,2,4,ring,0.08409280180931092
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,20,128,2,8,ring,0.04409280121326446
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,10,128,4,1,none,0.16671040058135986
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,4,2,ulysses,0.08838080167770386
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,10,128,4,2,ring,0.08848959803581238
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,10,128,4,4,ring,0.044582399725914004
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,10,128,4,8,ring,0.01688639968633652
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,8,1,none,0.08850240111351013
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,5,128,8,2,ring,0.04811199903488159
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,5,128,8,4,ring,0.018387199938297273
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,5,128,8,8,ring,0.010236799716949463
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,40,128,1,1,none,0.6919295787811279
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,20,128,1,2,ulysses,0.3514400005340576
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,40,128,1,2,ring,0.3552160024642944
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,1,4,ulysses,0.18072960376739503
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,40,128,1,4,ring,0.17783360481262206
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,1,8,ulysses,0.0957855999469757
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,40,128,1,8,ring,0.09103999733924865
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,20,128,2,1,none,0.35124480724334717
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,2,2,ulysses,0.18114240169525148
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,20,128,2,2,ring,0.18142399787902833
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,2,4,ulysses,0.09606720209121704
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,20,128,2,4,ring,0.0915615975856781
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,20,128,2,8,ring,0.04802559912204742
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,4,1,none,0.1806720018386841
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,4,2,ulysses,0.09621440172195435
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,10,128,4,2,ring,0.0951200008392334
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,10,128,4,4,ring,0.04827519953250885
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,10,128,4,8,ring,0.01852799952030182
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,8,1,none,0.09635840058326721
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,5,128,8,2,ring,0.0517408013343811
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,5,128,8,4,ring,0.021401600539684297
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,5,128,8,8,ring,0.01085119992494583
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,40,128,1,1,none,0.46688318252563477
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,20,128,1,2,ulysses,0.23790719509124755
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,15795,40,128,1,2,ring,0.24443519115447998
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,10,128,1,4,ulysses,0.12352319955825805
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,7898,40,128,1,4,ring,0.11915199756622315
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,5,128,1,8,ulysses,0.066348797082901
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,3949,40,128,1,8,ring,0.0622048020362854
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,20,128,2,1,none,0.23840639591217042
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,10,128,2,2,ulysses,0.12294080257415771
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,15795,20,128,2,2,ring,0.12507519721984864
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,5,128,2,4,ulysses,0.06662399768829345
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,7898,20,128,2,4,ring,0.06253759860992432
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,3949,20,128,2,8,ring,0.03202880024909973
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,10,128,4,1,none,0.12329920530319213
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,5,128,4,2,ulysses,0.06638079881668091
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,15795,10,128,4,2,ring,0.06514880061149597
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,7898,10,128,4,4,ring,0.03299840092658997
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,3949,10,128,4,8,ring,0.012464000284671784
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,5,128,8,1,none,0.06650879979133606
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,15795,5,128,8,2,ring,0.03500159978866577
