framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,53240,512,10,128,4,2,ring,0.29094719886779785
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,53240,257,10,128,4,2,ring,0.2286144018173218
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,26620,512,10,128,4,4,ring,0.2226560115814209
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,26620,257,10,128,4,4,ring,0.15294719934463502
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,26620,512,10,128,4,4,ring,0.15290240049362183
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,26620,257,10,128,4,4,ring,0.12128959894180298
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,13310,13310,10,128,4,8,ring,2.4515424728393556
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,13310,512,10,128,4,8,ring,0.11789120435714721
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,13310,257,10,128,4,8,ring,0.08360639810562134
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,self_attn,flash_attn,1,13310,13310,10,128,4,8,ring,1.1885472297668458
