stage,target_label,target_hardware,target_version,matched_rows,ratio_p10,ratio_p50,ratio_p90,ratio_mean,target_faster_pct,kernel_source_changed_pct,reference_kernel_sources,target_kernel_sources,bf16_bf16_matched,bf16_bf16_p50,bf16_fp8_matched,bf16_fp8_p50,small_matched,small_p50,small_faster_pct,large_matched,large_p50,large_faster_pct,large_minus_small_p50,size_pattern,workload_ratio_spearman
prefill,H100 original,h100_sxm,0.5.10,3080,0.9984148263263479,2.4458116245519026,4.011103383570253,2.48189948977766,10.032467532467534,0.0,flash_attention,flash_attention,1540,2.7228431072505996,1540,2.219795000209771,804,1.215787268178198,20.771144278606965,856,3.639368244797141,1.9859813084112148,2.423580976618943,target_slower_both,0.6948610303776941
prefill,H200 original,h200_sxm,0.5.10,3080,0.9458027527762987,2.3348223220875286,3.9962666067786654,2.4175883982924598,11.363636363636363,0.0,flash_attention,flash_attention,1540,2.5985936619938337,1540,2.1353293304223673,804,1.1854098315957615,23.258706467661693,856,3.6175675096243656,1.9859813084112148,2.432157678028604,target_slower_both,0.6892331616338591
prefill,B200 original,b200_sxm,0.5.10,3080,0.6556740683520433,1.1559090921815258,1.5576174148783037,1.1463315277404644,34.41558441558442,100.0,flash_attention,trtllm_mla,1540,1.1810857570503972,1540,1.1335807351411895,804,1.2848796604314519,12.56218905472637,856,0.7970194182921624,68.92523364485982,-0.48786024213928947,small_slower_large_faster,-0.5119240112158479
prefill,B300 original,b300_sxm,0.5.10,3080,0.5821533683015133,1.1028822245210002,1.5184437465782363,1.0891454676596573,39.57792207792208,100.0,flash_attention,trtllm_mla,1540,1.1514077155500622,1540,1.050707452585447,804,1.2555633545370726,14.303482587064675,856,0.7317752752915118,71.72897196261682,-0.5237880792455608,small_slower_large_faster,-0.5169222080083009
prefill,GB200 original,gb200,0.5.10,3080,0.6091291161099385,1.159188867566364,1.5842661993548608,1.1357957944115438,37.04545454545455,100.0,flash_attention,trtllm_mla,1540,1.2021623501211587,1540,1.1108455086738207,804,1.341241869129195,11.069651741293532,856,0.7490332034720564,72.7803738317757,-0.5922086656571386,small_slower_large_faster,-0.590415672476972
prefill,GB300 original,gb300,0.5.10,3080,0.5439487332075711,1.1090512482964996,1.5361923073894082,1.0842105597850018,41.396103896103895,100.0,flash_attention,trtllm_mla,1540,1.1712056408444766,1540,1.0383176058337251,804,1.313010727123686,12.189054726368159,856,0.6911211616468411,76.16822429906543,-0.6218895654768448,small_slower_large_faster,-0.5878793838332139
prefill,RTX PRO 6000 original,rtx_pro_6000_server,0.5.10,1540,0.9137422337963803,7.192805960877486,21.99923654788277,9.902087419944799,14.025974025974024,100.0,flash_attention,triton,1540,7.192805960877486,0,,402,1.0585001814742818,43.03482587064676,428,19.41098287153903,0.0,18.352482690064747,target_slower_both,0.7591303206664088
decode,H100 original,h100_sxm,0.5.10,4648,0.9441261102596218,0.980474793711301,1.0177506135887742,0.9808266486252148,72.09552495697073,0.0,flash_attention,flash_attention,2324,0.9729170947699388,2324,0.984449301899414,1170,0.9612252947951301,99.23076923076923,1166,1.0066561387649524,25.900514579759864,0.04543084396982233,small_faster_large_slower,0.6954828651762047
decode,H200 original,h200_sxm,0.5.10,4648,0.771746492509932,0.9385327779731627,0.9737060661379683,0.9172239385714134,98.21428571428571,0.0,flash_attention,flash_attention,2324,0.9300596748141515,2324,0.946250083850697,1170,0.9515747343314145,99.57264957264957,1166,0.9190486171546642,98.28473413379074,-0.03252611717675025,target_faster_both,-0.543238118777037
decode,B200 original,b200_sxm,0.5.10,4648,0.0783969666052887,0.5680229590831383,0.859823656439437,0.5390258260087506,98.79518072289156,100.0,flash_attention,trtllm_mla,2324,0.7441925344611977,2324,0.3715532988541621,1170,0.6294750473729034,99.91452991452991,1166,0.47729900743351217,99.65694682675816,-0.15217603993939122,target_faster_both,-0.45113857742834934
decode,B300 original,b300_sxm,0.5.10,4648,0.07718833871277472,0.5562215092213304,0.8396012689674682,0.5227188361820653,98.85972461273667,100.0,flash_attention,trtllm_mla,2324,0.7203615395887912,2324,0.3593100861084785,1170,0.6164756037893102,99.91452991452991,1166,0.46835781631152074,99.74271012006861,-0.14811778747778948,target_faster_both,-0.4419527480873739
decode,GB200 original,gb200,0.5.10,4648,0.07934183956710171,0.5860399716489293,0.9213871905826132,0.5609189802828449,96.53614457831326,100.0,flash_attention,trtllm_mla,2324,0.7749056907936205,2324,0.39202101431729763,1170,0.6765961898536521,93.76068376068376,1166,0.47551989646435533,99.74271012006861,-0.20107629338929678,target_faster_both,-0.5257068455036685
decode,GB300 original,gb300,0.5.10,4648,0.07820278585794342,0.5765154907733566,0.8879146171604296,0.5477165042859081,97.95611015490535,100.0,flash_attention,trtllm_mla,2324,0.7531554435583097,2324,0.3829073692120185,1170,0.6598301487842917,97.09401709401709,1166,0.4576790096536838,99.74271012006861,-0.2021511391306079,target_faster_both,-0.5159227548263836
decode,RTX PRO 6000 original,rtx_pro_6000_server,0.5.10,2324,0.9737443424287007,1.6084303870084513,8.213015355596523,3.440613992275893,13.46815834767642,100.0,flash_attention,triton,2324,1.6084303870084513,0,,585,1.0432519452007174,29.914529914529915,583,4.8729848953045565,0.0,3.829732950103839,target_slower_both,0.8232418782214274
